交易日期,股票代码,股票名称,是否交易,开盘价,最高价,最低价,收盘价,VWAP,成交额,流通市值,总市值,上市至今交易天数,财报季度,财报年份,归母净利润,归母净利润_ttm,归母净利润_ttm同比,归母净利润_单季,归母净利润_单季同比,归母净利润_单季环比,经营活动产生的现金流量净额,经营活动产生的现金流量净额_ttm,经营活动产生的现金流量净额_ttm同比,经营活动产生的现金流量净额_单季,经营活动产生的现金流量净额_单季同比,经营活动产生的现金流量净额_单季环比,净资产,涨跌幅_10,涨跌幅_20,bias_5,bias_10,bias_20,振幅_5,振幅_10,振幅_20,涨跌幅std_5,涨跌幅std_10,涨跌幅std_20,成交额std_5,成交额std_10,成交额std_20,K,D,J,DIF,DEA,MACD,市盈率倒数,市净率倒数,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,涨跌幅,下周期每天涨跌幅,市场状态,val_pct,因子,排名
2006-12-29,sh600552 ,方兴科技 ,1,4.08,4.2,3.25,3.34,3.351436152145674,198096670.0,225784000.0,390780000.0,967.0,,,,,,,,,,,,,,,,-0.0831168831168831,-0.1283950617283951,-0.0489749430523919,-0.0906615845358018,-0.113705718455619,0.1476923076923073,0.2615384615384613,0.2923076923076924,0.0246110306104101,0.0213518881579268,0.023693532905066,3913099.566735672,6475096.895691929,5088398.3283886295,16.30823748243124,21.028157357881664,6.868397731530401,-0.1552100055243679,-0.0900519699198487,-0.1303160712090383,,,建筑建材,建筑材料,玻璃制造,-0.1753086419753089,"[-0.06287425149700598, 0.022364217252396346, 0.08749999999999991, 0.09770114942528729, 0.06544502617801062, 0.0, -0.10073710073710074, 0.016393442622950838, -0.0026881720430108613, -0.018867924528301883, 0.016483516483516425, 0.08648648648648627, 0.024875621890547484, -0.01941747572815533, 0.06435643564356441, -0.08139534883720922, 0.010126582278481067, 0.040100250626566414, -0.026506024096385583, -0.07178217821782173]",bear,0.5,390780000.0,6.0
2006-12-29,sh600706 ,长安信息 ,1,4.08,4.91,3.82,4.1,4.149356911889209,215515505.0,199875110.7,358067108.1,2520.0,,,,,,,,,,,,,,,,0.1205128205128205,0.0710784313725489,-0.0270526815377313,-0.0113334940921148,0.0049019607843134,0.2336683417085427,0.2720207253886009,0.2853403141361255,0.0605629100192989,0.0435980589339484,0.0383354049063908,19133179.15268875,14131689.855250832,10801449.208947793,43.9457304368494,48.66566726975437,34.50585677103943,0.0839404490813047,0.0444446563878175,0.0789915853869743,,,综合,综合Ⅱ,综合Ⅲ,0.004901960784313,"[-0.024390243902438935, 0.020000000000000018, 0.02941176470588247, 0.011904761904761862, 0.025882352941176467, 0.01834862385321112, -0.04729729729729726, 0.03782505910165468, 0.031890660592255315, -0.03311258278145701, 0.03424657534246589, 0.03532008830022071, 0.04051172707889106, -0.020491803278688492, 0.10041841004184082, -0.01520912547528519, -0.042471042471042386, 0.0463709677419355, 0.02312138728323676, -0.096045197740113]",bear,0.5,358067108.1,4.0
2006-12-29,sz000008 ,宝利来 ,1,4.65,4.75,4.13,4.17,4.182032924973875,81437975.6,176594024.79,307133877.36,3517.0,,,,,,,,,,,,,,,,-0.052511415525114,-0.0546697038724371,-0.0192850423330195,-0.0336037079953649,-0.0483797352806938,0.0799031476997575,0.0992736077481839,0.1501210653753026,0.0125722849786427,0.0130473273457936,0.0149487048863341,387870.5695935501,1076876.6523727046,1462512.809455145,17.274296986505934,26.60924914856655,-1.3956073376152958,-0.077240132846251,-0.0207742500417648,-0.1129317656089724,,,综合,综合Ⅱ,综合Ⅲ,-0.050113895216401,"[-0.0023980815347721673, 0.016826923076923128, 0.028368794326240954, 0.006896551724137945, 0.10045662100456632, 0.07883817427385886, -0.08653846153846156, 0.04421052631578948, -0.002016129032258007, -0.02626262626262621, 0.014522821576763434, 0.01635991820040905, 0.04024144869215296, 0.10058027079303677, 0.05096660808435849, -0.06688963210702348, 0.032258064516129004, 0.015625, -0.03418803418803407, -0.008849557522124019]",bear,0.5,307133877.36,1.0
2006-12-29,sz000545 ,吉林制药 ,1,2.46,2.49,2.18,2.24,2.254873108812171,149814555.6,212328213.44,354465735.68,3120.0,,,,,,,,,,,,,,,,-0.0334728033472803,-0.0493827160493827,-0.0369733447979363,-0.0492359932088285,-0.0476190476190476,0.117117117117117,0.117117117117117,0.1422018348623854,0.011940802644124,0.0211733827438077,0.0247177030403663,2945817.7644070718,2800632.038357941,4259247.724206242,27.020375040343296,42.443480344013885,-3.825835566997881,-0.0103517207041208,0.0039224187352868,-0.0285482788788153,,,医药生物,化学制药,原料药,-0.0781893004115229,"[0.0, 0.02232142857142838, 0.03056768558951961, 0.04661016949152552, 0.00809716599190291, 0.06024096385542155, -0.0719696969696969, 0.048979591836734615, 0.0077821011673151474, -0.01158301158301156, 0.046875, 0.026119402985074647, 0.07272727272727275, -0.016949152542372947, 0.020689655172413834, -0.08108108108108103, -0.018382352941176516, 0.04494382022471921, 0.021505376344086002, -0.0736842105263158]",bear,0.5,354465735.68,3.0
2006-12-29,sz000669 ,领先科技 ,1,6.05,6.57,5.65,5.89,5.840647910954274,114712924.3,186929516.4,363236300.0,2377.0,,,,,,,,,,,,,,,,-0.0596774193548387,-0.0363636363636363,-0.0186604465178275,-0.0369522563767169,-0.0249958616123162,0.0775862068965516,0.1327586206896551,0.1628318584070793,0.0228304957578949,0.0225277203634457,0.022485498553672,447029.3791951315,5486260.959323577,4276335.436463812,21.36109560610838,36.36540310254672,-8.647519386768295,-0.000798455284805,0.021416768594491,-0.044430447758592,,,电子,其他电子Ⅱ,其他电子Ⅲ,-0.0264462809917357,"[0.008488964346349936, 0.008417508417508435, 0.03005008347245397, 0.0032414910858995505, 0.017770597738287375, 0.004761904761904745, -0.03949447077409163, 0.05592105263157898, 0.014018691588784993, 0.0, 0.02457757296466978, 0.020989505247376306, 0.03524229074889873, 0.014184397163120588, 0.023776223776223793, -0.05601092896174864, -0.00723589001447178, 0.04081632653061207, 0.03361344537815136, -0.0257452574525745]",bear,0.5,363236300.0,5.0
2006-12-29,sz002042 ,飞亚股份 ,1,3.37,3.75,3.25,3.43,3.4274173211572982,104050163.1,178360000.0,343000000.0,382.0,,,,,,,,,,,,,,,,-0.0117302052785923,0.0059701492537314,-0.0034863451481698,-0.0014556040756913,0.0024842905158557,0.0535714285714288,0.0694864048338372,0.1538461538461537,0.020389273134623,0.0159911328478595,0.0199905083738724,1275435.6893447307,1090224.5673229387,4248398.535965834,52.68761134917292,53.53111807058392,51.000597906350905,0.0267712967743132,0.0296599080780068,-0.0057772226073873,,,纺织服饰,纺织制造,棉纺,0.0238805970149245,"[0.005830903790087438, 0.020289855072463725, 0.017045454545454586, 0.011173184357541999, 0.0027624309392264568, 0.005509641873278293, -0.04931506849315059, 0.03746397694524495, 0.01388888888888884, -0.002739726027397249, 0.030219780219780112, 0.01866666666666661, 0.028795811518324665, 0.03816793893129766, 0.0, -0.05392156862745101, -0.010362694300518172, 0.03141361256544495, -0.0025380710659898, -0.04325699745547085]",bear,0.5,343000000.0,2.0
2007-01-31,sh600552 ,方兴科技 ,1,3.34,4.32,3.08,3.75,3.912524169944053,410136394.0,253500000.0,438750000.0,987.0,,,,,,,,,,,,,,,,0.0889487870619947,0.1444759206798866,-0.056841046277666,-0.0639041437843234,-0.0203761755485893,0.1630434782608696,0.2067039106145254,0.4025974025974026,0.0520557936846528,0.0546631147218617,0.0574500029757982,6399602.650291833,9544258.838678442,10041552.598561555,48.60722493169301,62.27726536162415,21.267144071830717,0.0932337198022992,0.081322177229713,0.0238230851451724,,,建筑建材,建筑材料,玻璃制造,0.1227544910179645,"[0.03200000000000003, 0.06459948320413433, 0.09951456310679618, 0.017660044150110465, 0.09978308026030369, 0.10059171597633121, 0.02508960573476693, 0.0996503496503498, 0.10015898251192357, 0.06502890173410414, 0.0, 0.0, 0.0, 0.04477611940298498, 0.061038961038961004]",bear,0.5,438750000.0,4.0
2007-01-31,sh600699 ,辽源得亨 ,1,2.19,2.93,2.13,2.57,2.6247674818520284,447699539.0,335010098.68,477309932.13,3150.0,,,,,,,,,,,,,,,,0.0979591836734692,0.2171945701357465,-0.0323795180722892,-0.0446096654275093,0.0072506368802662,0.1728395061728396,0.2057613168724279,0.3755868544600933,0.0470526805821637,0.044245487302765,0.0432323608549227,2457021.761882548,7190573.484507406,12290776.844855512,49.73399254275592,62.02013635401585,25.161704920236048,0.2022394280333204,0.2078694028052157,-0.0112599495437907,,,基础化工,化学纤维,涤纶,0.173515981735159,"[-0.015564202334630406, 0.09881422924901195, 0.07194244604316546, -0.043624161073825496, 0.007017543859649145, 0.017421602787456303, -0.0273972602739726, 0.05633802816901423, -0.0033333333333332993, 0.10033444816053505, 0.10030395136778125, -0.0055248618784530246, 0.09999999999999987, -0.08585858585858586, 0.09944751381215466]",bear,0.5,477309932.13,6.0
2007-01-31,sz000545 ,吉林制药 ,1,2.25,2.97,2.2,2.64,2.7414150226943117,324096737.0,250243965.84,417763188.48,3140.0,,,,,,,,,,,,,,,,0.1003861003861004,0.2337662337662338,-0.0343818580833942,-0.0541024722321749,0.0043751188891001,0.1653543307086613,0.1739130434782612,0.3500000000000003,0.0560065440766783,0.05112626054209,0.0441836218801526,4021933.555877485,9331778.477798738,9198041.551740488,51.827008335515735,63.93166173250797,27.617701541531275,0.1304567452867973,0.1336849102047695,-0.0064563298359445,,,医药生物,化学制药,原料药,0.1785714285714283,"[0.0, -0.011363636363636465, 0.015325670498084198, 0.037735849056603765, 0.0072727272727273196, 0.0072202166064982976, 0.017921146953404854, 0.01760563380281699, -0.00692041522491349, 0.10104529616724744, 0.07594936708860756, -0.01764705882352946, 0.0988023952095809, -0.09536784741144422, 0.09939759036144591]",bear,0.5,417763188.48,3.0
2007-01-31,sz000711 ,天伦置业 ,1,3.9,4.79,3.82,4.42,4.466730697942104,371614608.4,293652777.6,474113952.0,2328.0,,,,,,,,,,,,,,,,0.0489510489510489,0.1658031088082903,-0.0190856635596979,-0.0131725831658849,0.0236220472440946,0.1087962962962962,0.1945137157107233,0.2539267015706812,0.0398943244930379,0.0346526644092464,0.0345263267194566,2494975.421301484,5368602.770198995,9006356.14468414,61.74610255348133,67.46779910585094,50.30270944874209,0.2559146748339245,0.2331156003691229,0.0455981489296031,,,社会服务,酒店Ⅱ,酒店Ⅲ,0.1391752577319587,"[-0.002262443438914019, -0.013605442176870874, 0.016091954022988464, 0.02714932126696845, 0.01982378854625555, -0.002159827213822796, 0.010822510822510845, 0.0064239828693790635, -0.00638297872340432, 0.036402569593147804, 0.037190082644628086, 0.03984063745019917, 0.09961685823754807, -0.026132404181184676, 0.10017889087656529]",bear,0.5,474113952.0,5.0
2007-01-31,sz002016 ,威尔科技 ,1,5.21,7.8,5.11,6.09,6.367316848425457,377423136.4,286147535.31,385438335.03,597.0,,,,,,,,,,,,,,,,0.1768826619964973,0.2923076923076921,-0.0961709706144255,-0.0995120508650008,-0.0124858115777526,0.2231404958677685,0.3310580204778157,0.5264187866927592,0.0505553249313572,0.0619894896125669,0.0482286087533157,6967161.120689723,11475661.80769766,12490834.000210883,42.249052877820965,62.44527877916624,1.856601075130428,0.4812517918763426,0.4925384949502266,-0.022573406147768,,,医药生物,医疗器械,医疗器械Ⅲ,0.171153846153846,"[0.0, 0.0016420361247946325, 0.04426229508196733, 0.006279434850863463, -0.007800312012480437, 0.018867924528301883, 0.01851851851851838, 0.03333333333333344, 0.02639296187683282, -0.0014285714285714457, 0.030042918454935563, 0.00694444444444442, 0.02344827586206888, -0.09164420485175195, 0.053412462908011715]",bear,0.5,385438335.03,2.0
2007-01-31,sz002042 ,飞亚股份 ,1,3.43,4.15,3.36,3.76,3.8657793939341984,193039016.1,223535308.8,376000000.0,402.0,,,,,,,,,,,,,,,,0.0767123287671234,0.1661721068249257,-0.0264111859140342,-0.0351552476263796,0.0056164749933136,0.108991825613079,0.1464088397790055,0.2351190476190476,0.034064962273994,0.0321260486640504,0.0270195052479754,2484118.64516471,4369715.568674405,4236032.079257128,48.89931555876398,63.49390023719775,19.71014620189644,0.1184156153296744,0.1204908683080537,-0.0041505059567585,,,纺织服饰,纺织制造,棉纺,0.096209912536443,"[0.0, 0.010638297872340496, 0.026315789473684292, 0.012820512820512997, -0.0025316455696202667, 0.017766497461928932, -0.012468827930174564, 0.02020202020202011, 0.007425742574257432, 0.039312039312039415, 0.016548463356973908, 0.0, 0.10000000000000009, -0.05708245243128973, 0.10089686098654704]",bear,0.5,376000000.0,1.0
2007-02-28,sh600444 ,国通管业 ,1,7.31,8.74,7.31,7.98,7.825641155482152,368300527.0,420386400.0,558600000.0,696.0,,,,,,,,,,,,,,,,-0.0216284987277353,0.0363881401617252,-0.0201375245579568,-0.0144497962208225,0.0231425091352011,0.1560846560846562,0.1560846560846562,0.2834067547723939,0.0571863606040086,0.0428792699085041,0.0382563021333369,6591679.307541078,6130966.017424092,10633307.714225613,51.13609523950951,67.64134799131152,18.125589735905493,0.2940579752276333,0.3246310326374184,-0.0611461148195702,,,基础化工,塑料,其他塑料制品,0.0931506849315071,"[0.023809523809523725, 0.04773561811505522, -0.011682242990654124, 0.0035460992907800915, 0.012956419316843215, 0.016279069767441978, -0.0240274599542335, 0.04689331770222749, 0.0033594624860022737, 0.008928571428571175, 0.058628318584071026, -0.03970741901776398, -0.018498367791077275, 0.029933481152993213, 0.010764262648008671, -0.0021299254526092604, 0.025613660618996725, 0.018730489073881307, 0.029622063329928672, -0.023809523809523836, -0.060975609756097504, 0.01298701298701288]",bear,0.5,558600000.0,5.0
2007-02-28,sh600593 ,大连圣亚 ,1,5.36,6.55,5.35,6.1,5.970162906219384,168341110.0,261568000.0,561200000.0,1080.0,,,,,,,,,,,,,,,,0.0446428571428572,-0.0168067226890756,-0.0061909416748127,0.0207496653279783,0.0582928521859817,0.1332179930795847,0.1738351254480283,0.2358490566037732,0.0618539841741183,0.0418953905781835,0.034211037658477,4915393.199918294,4734755.818843061,5149755.824127736,61.68556883167968,71.15952325971121,42.73765997561662,0.2050104941612636,0.1860898442545201,0.0378412998134869,,,社会服务,景点,人工景点,0.1151736745886655,"[-0.016393442622950727, 0.03499999999999992, 0.006441223832528209, 0.033600000000000074, -0.001547987616099089, 0.01240310077519391, 0.018376722817764257, 0.042105263157894646, -0.004329004329004182, -0.013043478260869712, 0.03524229074889873, -0.02269503546099294, 0.014513788098693858, 0.022889842632331847, 0.034965034965035, -0.006756756756756799, 0.07074829931972793, 0.0698856416772553, -0.004750593824227933, -0.026252983293556187, -0.044117647058823595, -0.011538461538461497]",bear,0.5,561200000.0,6.0
