交易日期,原版策略 (baseline),行业热度-top-30%,行业热度-top-40%,行业热度-top-50%,行业热度-bottom-30%,行业热度-bottom-40%
2008-01-31,1.0961959914263362,1.1010292095335859,1.1010292095335859,1.1301971184695623,1.0685776587167333,1.0563470037605942
2008-02-29,0.9333494411935395,0.9241900480374122,0.9241900480374122,0.948518352838147,0.9160004794020756,0.905516182157195
2008-03-31,0.892758199045774,0.8839971466708354,0.8839971466708354,0.9072674167552817,0.8398054513411527,0.9542471971584088
2008-04-30,0.8710597717149797,0.9255658594953925,0.9255658594953925,,0.8193940369431578,0.9310542839090125
2008-05-30,0.6496525483677141,0.7177552263179373,0.6732450457769539,0.6599349870773716,0.611119284236229,0.6782099548206554
2008-06-30,0.7583078416190427,0.8418444295924675,0.7896391008471719,,0.7133298354101855,0.79164151406284
2008-07-31,0.5700465472856779,0.6328439244624793,0.5935993515227733,0.4960962292217277,,
2008-08-29,0.5402096314416736,0.5997201190355625,,,0.6759933014560819,0.7502060534918
2008-09-26,0.3924617941841553,0.4356961080032959,0.4312493761050833,0.3604134485509906,0.4911085040040962,
2008-10-31,0.49223150439507435,0.5464566331797083,0.5408794749331359,0.45029933859582183,0.6159556964001422,0.9443437956069126
2008-11-28,0.5323497843565924,0.5909944167246161,0.5849627040784819,0.4870000267292943,,
2008-12-31,0.6520519886001016,0.7238832361744919,0.7164952549239132,,0.754457216908046,1.1566854499469281
2009-01-23,0.7649238562827526,0.8491892766124517,0.8812861806144323,0.5984136062551325,0.8578644495358155,1.3152227913882473
2009-02-27,0.9155829811830541,0.9813177137717617,1.0184086913922314,0.6915229480084454,1.026829119925661,1.603039538647921
2009-03-31,1.0094357480092873,1.0301612687571364,1.0690983917996668,0.7259424216006185,1.1241658692013077,1.7350485985721578
2009-04-30,1.1310893178043575,1.154312603853079,1.1775976705403757,0.7689618077852386,1.2596463010166261,1.9441504222399826
2009-05-27,1.2460962322717948,1.2356003907855624,1.2605252139246792,0.8279238251558859,1.3877246341065868,2.077800387625073
2009-06-30,1.35812920591644,1.3670894751090161,1.3946667271368958,0.9556852035827729,1.5124910151712696,2.2646095200475678
2009-07-31,1.2426333175901914,1.2228347758690183,1.2475020880066576,0.8547896097132048,1.373751224958637,2.0505744480387764
2009-08-31,1.3205597452817415,1.3255322966966108,1.39095300180129,0.9553204518115647,1.4599001507781377,2.200724033715297
2009-09-30,1.542959959694214,1.5073182208908695,1.5729709253957531,1.0803321846169744,1.702151146193522,2.602951049317162
2009-10-30,1.861423184120725,1.8227287835504582,1.9021195004942615,1.3063947223655796,2.0899739340184644,3.281379042565478
2009-11-30,1.9289822777951755,1.9197446790191013,2.003361017221377,1.375928409971549,2.165828122356733,3.382925269210491
2009-12-31,1.862638350617127,1.9230151198685563,1.9918365496835235,1.3714483507795183,2.0913383020593472,3.266575549312695
2010-01-29,1.9679346125296902,2.0523304604554573,2.136536787395097,1.483721655755582,2.190836231608337,3.4325242475061586
2010-02-26,2.176973010913392,2.270333573809012,2.3634844843771745,1.6541197794643312,2.4169627134029534,3.786811172546406
2010-03-31,2.0125439123572044,2.0988528521409773,2.18496797486169,1.529194399645889,2.1349386831340467,3.428155245176028
2010-04-30,1.8898704702774278,1.9802707799380426,2.049631007471076,1.4429746662157716,1.9925456809205693,3.199509185562781
2010-05-31,1.6753419888798302,1.759739587216297,1.7827197642650625,1.2550646664789682,1.7718477528461833,2.988677297876585
2010-06-30,2.0207484258607598,2.0314009202560586,2.0579286821724425,1.448816368619242,2.137150851106419,3.6442825738989435
2010-07-30,2.2895611517276415,2.282617738713482,2.3124261036280127,1.627986829272418,2.51730092990333,4.24910644433252
2010-08-31,2.509690651531763,2.3836199606585713,2.414747298539033,1.7000226696433642,2.7593264351570057,4.661752211154735
2010-09-30,2.889622234988407,2.744466228886547,2.7803058044137066,1.9994641355125027,3.022673778787763,5.206431824389055
2010-10-29,3.1222485814873617,2.965406926319339,2.898216184681179,2.109161412425231,3.2195783873975743,5.678344265400653
2010-11-30,3.3050088936699415,2.9221272615911165,2.876235848270515,2.0803911994078197,3.410999366897075,6.031771504695981
2010-12-31,3.1369062228676934,2.7734990996402207,2.7954450362773797,1.9445594377443407,3.2709277137089243,5.787511306432423
2011-01-31,3.7455465145908455,3.30465877731987,3.3308076346041218,2.327144912768364,3.895684846339476,6.590902095905559
2011-02-28,4.034191565719833,3.5550396157420567,3.4625111239344744,2.419162566986753,4.022788270731793,6.904761483657981
2011-03-31,3.6937266928946206,3.309434334815567,3.223298313607602,2.2573557618684434,3.7179944266118605,6.381609715853775
