,NDX,SPX,Position,QQQ_weight,ret_ndx,ret_spx,pos_l,qw_l,cash_ret,asset_ret,strat_ret,turnover,strat_nv,bh_ndx_nv,bh_spx_nv
2005-01-03,1598.79,1598.79,,,0.0,0.0,0.0,0.5,0.0001556498627912628,0.0,0.0001556498627912628,0.0,1.0001556498627913,1.0,1.0
2005-01-04,1565.02,1565.02,,,-0.02112222368165928,-0.02112222368165928,0.0,0.5,0.0001556498627912628,-0.02112222368165928,0.0001556498627912628,0.0,1.0003113239524624,0.9788777763183407,0.9788777763183407
2005-01-05,1562.64,1562.64,,,-0.0015207473386921189,-0.0015207473386921189,0.0,0.5,0.0001556498627912628,-0.0015207473386921189,0.0001556498627912628,0.0,1.000467022272784,0.9773891505450998,0.9773891505450998
2005-01-06,1556.84,1556.84,,,-0.003711667434597943,-0.003711667434597943,0.0,0.5,0.0001556498627912628,-0.003711667434597943,0.0001556498627912628,0.0,1.000622744827528,0.9737614070640922,0.9737614070640922
2005-01-07,1577.76,1577.76,,,0.013437475912746466,0.013437475912746466,0.0,0.5,0.0001556498627912628,0.013437475912746466,0.0001556498627912628,0.0,1.0007784916204663,0.986846302516278,0.986846302516278
2005-01-10,1558.54,1558.54,,,-0.012181827400872147,-0.012181827400872147,0.0,0.5,0.0001556498627912628,-0.012181827400872147,0.0001556498627912628,0.0,1.0009342626553714,0.9748247111878359,0.9748247111878359
2005-01-11,1545.28,1545.28,,,-0.008507962580363682,-0.008507962580363682,0.0,0.5,0.0001556498627912628,-0.008507962580363682,0.0001556498627912628,0.0,1.001090057936017,0.966530939022636,0.966530939022636
2005-01-12,1566.69,1566.69,,,0.013855094222406272,0.013855094222406272,0.0,0.5,0.0001556498627912628,0.013855094222406272,0.0001556498627912628,0.0,1.0012458774661763,0.9799223162516654,0.9799223162516654
2005-01-13,1543.48,1543.48,,,-0.01481467297295569,-0.01481467297295569,0.0,0.5,0.0001556498627912628,-0.01481467297295569,0.0001556498627912628,0.0,1.0014017212496242,0.9654050875974957,0.9654050875974957
2005-01-14,1563.79,1563.79,,,0.013158576722730464,0.013158576722730464,0.0,0.5,0.0001556498627912628,0.013158576722730464,0.0001556498627912628,0.0,1.0015575892901356,0.9781084445111616,0.9781084445111616
2005-01-17,1563.79,1563.79,,,0.0,0.0,0.0,0.5,0.0001556498627912628,0.0,0.0001556498627912628,0.0,1.001713481591486,0.9781084445111616,0.9781084445111616
2005-01-18,1574.39,1574.39,,,0.006778403749864159,0.006778403749864159,0.0,0.5,0.0001556498627912628,0.006778403749864159,0.0001556498627912628,0.0,1.001869398157452,0.9847384584592099,0.9847384584592099
2005-01-19,1545.63,1545.63,,,-0.018267392450409314,-0.018267392450409314,0.0,0.5,0.0001556498627912628,-0.018267392450409314,0.0001556498627912628,0.0,1.00202533899181,0.9667498545775245,0.9667498545775245
2005-01-20,1514.56,1514.56,,,-0.020101835497499554,-0.020101835497499554,0.0,0.5,0.0001556498627912628,-0.020101835497499554,0.0001556498627912628,0.0,1.0021813040983374,0.9473164080335755,0.9473164080335755
2005-01-21,1502.48,1502.48,,,-0.007975913796746226,-0.007975913796746226,0.0,0.5,0.0001556498627912628,-0.007975913796746226,0.0001556498627912628,0.0,1.0023372934808124,0.9397606940248565,0.9397606940248565
2005-01-24,1480.66,1480.66,,,-0.014522655875618962,-0.014522655875618962,0.0,0.5,0.0001556498627912628,-0.014522655875618962,0.0001556498627912628,0.0,1.002493307143013,0.9261128728601007,0.9261128728601007
2005-01-25,1488.6,1488.6,,,0.005362473491550945,0.005362473491550945,0.0,0.5,0.0001556498627912628,0.005362473491550945,0.0001556498627912628,0.0,1.002649345088719,0.9310791285909971,0.9310791285909971
2005-01-26,1513.44,1513.44,,,0.016686819830713517,0.016686819830713517,0.0,0.5,0.0001556498627912628,0.016686819830713517,0.0001556498627912628,0.0,1.0028054073217099,0.9466158782579328,0.9466158782579328
2005-01-27,1497.36,1497.36,,,-0.010624801776086379,-0.010624801776086379,0.0,0.5,0.0001556498627912628,-0.010624801776086379,0.0001556498627912628,0.0,1.0029614938457658,0.9365582721933463,0.9365582721933463
2005-01-28,1486.76,1486.76,,,-0.0070791259283004004,-0.0070791259283004004,0.0,0.5,0.0001556498627912628,-0.0070791259283004004,0.0001556498627912628,0.0,1.003117604664668,0.9299282582452981,0.9299282582452981
2005-01-31,1513.06,1513.06,0.75,0.6,0.017689472409803786,0.017689472409803786,0.0,0.5,0.0001556498627912628,0.017689472409803786,0.0001556498627912628,0.0,1.0032737397821976,0.9463781985126252,0.9463781985126252
2005-02-01,1527.91,1527.91,0.75,0.6,0.009814548002062162,0.009814548002062162,0.75,0.6,0.0001556498627912628,0.009814548002062162,0.006987323467244438,0.825,1.0102839379282478,0.9556664727700325,0.9556664727700325
2005-02-02,1515.45,1515.45,0.75,0.6,-0.008154930591461551,-0.008154930591461551,0.75,0.6,0.0001556498627912628,-0.008154930591461551,-0.006077285477898348,0.0,1.0041441540237226,0.9478730790160059,0.9478730790160059
2005-02-03,1501.96,1501.96,0.75,0.6,-0.00890164637566404,-0.00890164637566404,0.75,0.6,0.0001556498627912628,-0.00890164637566404,-0.006637322316050215,0.0,0.9974793256216896,0.9394354480575936,0.9394354480575936
2005-02-04,1534.97,1534.97,0.75,0.6,0.021977948813550308,0.021977948813550308,0.75,0.6,0.0001556498627912628,0.021977948813550308,0.016522374075860546,0.0,1.0139600521725485,0.960082312248638,0.960082312248638
2005-02-07,1522.72,1522.72,0.75,0.6,-0.00798061199893163,-0.00798061199893163,0.75,0.6,0.0001556498627912628,-0.00798061199893163,-0.005946546533500907,0.0,1.0079304915391933,0.9524202678275445,0.9524202678275445
2005-02-08,1542.41,1542.41,0.75,0.6,0.012930808027739937,0.012930808027739937,0.75,0.6,0.0001556498627912628,0.012930808027739937,0.009737018486502769,0.0,1.0177447293684203,0.9647358314725512,0.9647358314725512
2005-02-09,1504.6,1504.6,0.75,0.6,-0.024513585881834388,-0.024513585881834388,0.75,0.6,0.0001556498627912628,-0.024513585881834388,-0.018346276945677975,0.0,0.9990729027034232,0.9410866968144659,0.9410866968144659
2005-02-10,1514.22,1514.22,0.75,0.6,0.006393725907217984,0.006393725907217984,0.75,0.6,0.0001556498627912628,0.006393725907217984,0.004834206896111304,0.0,1.00390262781939,0.9471037472088267,0.9471037472088267
2005-02-11,1535.54,1535.54,0.75,0.6,0.014079856295650561,0.014079856295650561,0.75,0.6,0.0001556498627912628,0.014079856295650561,0.010598804687435737,0.0,1.0145427956968514,0.9604388318665992,0.9604388318665992
2005-02-14,1540.01,1540.01,0.75,0.6,0.002911028042252184,0.002911028042252184,0.75,0.6,0.0001556498627912628,0.002911028042252184,0.0022221834973869536,0.0,1.0167972959548417,0.9632346962390308,0.9632346962390308
2005-02-15,1561.17,1561.17,0.75,0.6,0.013740170518373285,0.013740170518373285,0.75,0.6,0.0001556498627912628,0.013740170518373285,0.01034404035447778,0.0,1.0273150882165225,0.9764697052145686,0.9764697052145686
2005-02-16,1535.37,1535.37,0.75,0.6,-0.016526066988220456,-0.016526066988220456,0.75,0.6,0.0001556498627912628,-0.016526066988220456,-0.012355637775467526,0.0,1.0146219551052467,0.9603325014542247,0.9603325014542247
2005-02-17,1519.22,1519.22,0.75,0.6,-0.010518637201456293,-0.010518637201456293,0.75,0.6,0.0001556498627912628,-0.010518637201456293,-0.007850065435394404,0.0,1.0066571063654828,0.9502311122786606,0.9502311122786606
2005-02-18,1512.73,1512.73,0.75,0.6,-0.004271929016205656,-0.004271929016205656,0.75,0.6,0.0001556498627912628,-0.004271929016205656,-0.003165034296456426,0.0,1.0034710020990645,0.9461717924180161,0.9461717924180161
2005-02-21,1512.73,1512.73,0.75,0.6,0.0,0.0,0.75,0.6,0.0001556498627912628,0.0,3.89124656978157e-05,0.0,1.0035100496300124,0.9461717924180161,0.9461717924180161
2005-02-22,1493.58,1493.58,0.75,0.6,-0.012659231984557762,-0.012659231984557762,0.75,0.6,0.0001556498627912628,-0.012659231984557762,-0.009455511522720506,0.0,0.9940213487925701,0.9341939842005516,0.9341939842005516
2005-02-23,1489.99,1489.99,0.75,0.6,-0.0024036208304877293,-0.0024036208304877293,0.75,0.6,0.0001556498627912628,-0.0024036208304877293,-0.0017638031571679813,0.0,0.9922680907992774,0.9319485360804107,0.9319485360804107
2005-02-24,1517.88,1517.88,0.75,0.6,0.018718246431184138,0.018718246431184138,0.75,0.6,0.0001556498627912628,0.018718246431184138,0.014077597289085919,0.0,1.0062368413843596,0.9493929784399452,0.9493929784399452
2005-02-25,1528.0,1528.0,0.75,0.6,0.00666719371755331,0.00666719371755331,0.75,0.6,0.0001556498627912628,0.00666719371755331,0.005039307753862798,0.0,1.0113075785013703,0.9557227653412892,0.9557227653412892
2005-02-28,1498.17,1498.17,0.75,0.6,-0.019522251308900507,-0.019522251308900507,0.75,0.6,0.0001556498627912628,-0.019522251308900507,-0.014602776015977564,0.0,0.9965396804492541,0.9370649053346592,0.9370649053346592
2005-03-01,1529.37,1529.37,0.75,0.6,0.020825406996535678,0.020825406996535678,0.75,0.6,0.0001556498627912628,0.020825406996535678,0.015657967713099574,0.0,1.012143466590551,0.9565796633704237,0.9565796633704237
2005-03-02,1541.14,1541.14,0.75,0.6,0.007695979390206498,0.007695979390206498,0.75,0.6,0.0001556498627912628,0.007695979390206498,0.005810897008352689,0.0,1.018024928032586,0.9639414807448131,0.9639414807448131
2005-03-03,1502.32,1502.32,0.75,0.6,-0.025189145697340987,-0.025189145697340987,0.75,0.6,0.0001556498627912628,-0.025189145697340987,-0.018852946807307924,0.0,0.998832158215874,0.9396606183426214,0.9396606183426214
2005-03-04,1530.59,1530.59,0.75,0.6,0.01881756217050956,0.01881756217050956,0.75,0.6,0.0001556498627912628,0.01881756217050956,0.014152084093579986,0.0,1.012967714914317,0.9573427404474631,0.9573427404474631
2005-03-07,1552.53,1552.53,0.75,0.6,0.01433434165909886,0.01433434165909886,0.75,0.6,0.0001556498627912628,0.01433434165909886,0.01078966871002196,0.0,1.0238973009721906,0.971065618373895,0.971065618373895
2005-03-08,1527.5,1527.5,0.75,0.6,-0.016122071715200303,-0.016122071715200303,0.75,0.6,0.0001556498627912628,-0.016122071715200303,-0.012052641320702412,0.0,1.0115566340543376,0.9554100288343058,0.9554100288343058
2005-03-09,1520.45,1520.45,0.75,0.6,-0.004615384615384577,-0.004615384615384577,0.75,0.6,0.0001556498627912628,-0.004615384615384577,-0.003422625995840617,0.0,1.0080944540223582,0.9510004440858398,0.9510004440858398
2005-03-10,1504.54,1504.54,0.75,0.6,-0.010464007366240313,-0.010464007366240313,0.75,0.6,0.0001556498627912628,-0.010464007366240313,-0.007809093058982419,0.0,1.0002221506186535,0.9410491684336278,0.9410491684336278
2005-03-11,1501.99,1501.99,0.75,0.6,-0.0016948701928828358,-0.0016948701928828358,0.75,0.6,0.0001556498627912628,-0.0016948701928828358,-0.0012322401789643112,0.0,0.9989896366967711,0.9394542122480125,0.9394542122480125
2005-03-14,1502.6,1502.6,0.75,0.6,0.0004061278703586524,0.0004061278703586524,0.75,0.6,0.0001556498627912628,0.0004061278703586524,0.000343508368466805,0.0,0.9993327979969882,0.9398357507865323,0.9398357507865323
2005-03-15,1500.88,1500.88,0.75,0.6,-0.0011446825502461344,-0.0011446825502461344,0.75,0.6,0.0001556498627912628,-0.0011446825502461344,-0.0008195994469867851,0.0,0.998513745388394,0.9387599372025094,0.9387599372025094
2005-03-16,1482.62,1482.62,0.75,0.6,-0.012166195831778803,-0.012166195831778803,0.75,0.6,0.0001556498627912628,-0.012166195831778803,-0.009085734408136287,0.0,0.9894415146949216,0.9273387999674753,0.9273387999674753
2005-03-17,1496.8,1496.8,0.75,0.6,0.009564149950762824,0.009564149950762824,0.75,0.6,0.0001556498627912628,0.009564149950762824,0.007212024928769933,0.0,0.9965773915644612,0.9362080073055247,0.9362080073055247
2005-03-18,1475.26,1475.26,0.75,0.6,-0.014390700160342051,-0.014390700160342051,0.75,0.6,0.0001556498627912628,-0.014390700160342051,-0.010754112654558723,0.0,0.9858600860265907,0.9227353185846795,0.9227353185846795
2005-03-21,1490.57,1490.57,0.75,0.6,0.010377831704242002,0.010377831704242002,0.75,0.6,0.0001556498627912628,0.010377831704242002,0.007822286243879317,0.0,0.9935717658159061,0.9323113104285115,0.9323113104285115
2005-03-22,1464.99,1464.99,0.75,0.6,-0.01716122020435129,-0.01716122020435129,0.75,0.6,0.0001556498627912628,-0.01716122020435129,-0.012832002687565652,0.0,0.980822250246667,0.9163117107312404,0.9163117107312404
2005-03-23,1480.13,1480.13,0.75,0.6,0.010334541532706742,0.010334541532706742,0.75,0.6,0.0001556498627912628,0.010334541532706742,0.0077898186152278726,0.0,0.9884626776698682,0.925781372162698,0.925781372162698
2005-03-24,1469.94,1469.94,0.75,0.6,-0.006884530412869183,-0.006884530412869183,0.75,0.6,0.0001556498627912628,-0.006884530412869183,-0.005124485343954072,0.0,0.9833973151651033,0.9194078021503761,0.9194078021503761
2005-03-25,1469.94,1469.94,0.75,0.6,0.0,0.0,0.75,0.6,0.0001556498627912628,0.0,3.89124656978157e-05,0.0,0.983435581579397,0.9194078021503761,0.9194078021503761
2005-03-28,1472.71,1472.71,0.75,0.6,0.0018844306570335867,0.0018844306570335867,0.75,0.6,0.0001556498627912628,0.0018844306570335867,0.0014522354584730057,0.0,0.9848637616020905,0.9211403623990642,0.9211403623990642
2005-03-29,1458.26,1458.26,0.75,0.6,-0.00981184347223829,-0.00981184347223829,0.75,0.6,0.0001556498627912628,-0.00981184347223829,-0.007319970138480902,0.0,0.9776545882766912,0.9121022773472437,0.9121022773472437
2005-03-30,1491.74,1491.74,0.75,0.6,0.022958868788830467,0.022958868788830467,0.75,0.6,0.0001556498627912628,0.022958868788830467,0.017258064057320666,0.0,0.9945270137871038,0.9330431138548525,0.9330431138548525
2005-03-31,1478.66,1478.66,0.75,0.6,-0.008768284017321992,-0.008768284017321992,0.75,0.6,0.0001556498627912628,-0.008768284017321992,-0.0065373005472936785,0.0,0.988025491795575,0.9248619268321666,0.9248619268321666
2005-04-01,1466.49,1466.49,0.75,0.6,-0.008230424844115625,-0.008230424844115625,0.75,0.6,0.0001556498627912628,-0.008230424844115625,-0.006133906167388903,0.0,0.9819650361379128,0.9172499202521905,0.9172499202521905
2005-04-04,1482.06,1482.06,0.75,0.6,0.010617187979461207,0.010617187979461207,0.75,0.6,0.0001556498627912628,0.010617187979461207,0.00800180345029372,0.0,0.9898225273521489,0.9269885350796538,0.9269885350796538
2005-04-05,1477.55,1477.55,0.75,0.6,-0.0030430616844122627,-0.0030430616844122627,0.75,0.6,0.0001556498627912628,-0.0030430616844122627,-0.0022433837976113813,0.0,0.9876019755317764,0.9241676517866635,0.9241676517866635
2005-04-06,1477.97,1477.97,0.75,0.6,0.0002842543399546038,0.0002842543399546038,0.75,0.6,0.0001556498627912628,0.0002842543399546038,0.00025210322066376856,0.0,0.9878509531705418,0.9244303504525295,0.9244303504525295
2005-04-07,1499.71,1499.71,0.75,0.6,0.014709364872088182,0.014709364872088182,0.75,0.6,0.0001556498627912628,0.014709364872088182,0.011070936119763952,0.0,0.998787387968941,0.9380281337761681,0.9380281337761681
2005-04-08,1485.43,1485.43,0.75,0.6,-0.009521840889238575,-0.009521840889238575,0.75,0.6,0.0001556498627912628,-0.009521840889238575,-0.007102468201231116,0.0,0.9916935323061009,0.929096379136722,0.929096379136722
2005-04-11,1477.13,1477.13,0.75,0.6,-0.0055876076287674215,-0.0055876076287674215,0.75,0.6,0.0001556498627912628,-0.0055876076287674215,-0.00415179325587775,0.0,0.9875762257867748,0.9239049531207976,0.9239049531207976
2005-04-12,1490.1,1490.1,0.75,0.6,0.008780540643003487,0.008780540643003487,0.75,0.6,0.0001556498627912628,0.008780540643003487,0.006624317947950431,0.0,0.9941182447042233,0.932017338111947,0.932017338111947
2005-04-13,1459.97,1459.97,0.75,0.6,-0.020220119455070074,-0.020220119455070074,0.75,0.6,0.0001556498627912628,-0.020220119455070074,-0.01512617712560474,0.0,0.9790810360510319,0.913171836201127,0.913171836201127
2005-04-14,1440.35,1440.35,0.75,0.6,-0.013438632300663778,-0.013438632300663778,0.75,0.6,0.0001556498627912628,-0.013438632300663778,-0.010040061759800017,0.0,0.9692510019812306,0.9009000556670981,0.9009000556670981
2005-04-15,1407.82,1407.82,0.75,0.6,-0.022584788419481305,-0.022584788419481305,0.75,0.6,0.0001556498627912628,-0.022584788419481305,-0.016899678848913163,0.0,0.9528709713237605,0.8805534185227577,0.8805534185227577
2005-04-18,1418.76,1418.76,0.75,0.6,0.007770879799974484,0.007770879799974484,0.75,0.6,0.0001556498627912628,0.007770879799974484,0.005867072315678679,0.0,0.958461534220028,0.8873960932955547,0.8873960932955547
2005-04-19,1424.03,1424.03,0.75,0.6,0.0037145112633567567,0.0037145112633567567,0.75,0.6,0.0001556498627912628,0.0037145112633567567,0.0028247959132153833,0.0,0.9611689924448668,0.8906923360791598,0.8906923360791598
2005-04-20,1404.86,1404.86,0.75,0.6,-0.01346179504645273,-0.01346179504645273,0.75,0.6,0.0001556498627912628,-0.01346179504645273,-0.010057433819141731,0.0,0.9515020989143413,0.8787020184014159,0.8787020184014159
2005-04-21,1448.37,1448.37,0.75,0.6,0.03097105761428187,0.03097105761428187,0.75,0.6,0.0001556498627912628,0.03097105761428187,0.02326720567640922,0.0,0.9736408939513164,0.9059163492391119,0.9059163492391119
2005-04-22,1412.63,1412.63,0.75,0.6,-0.024676015106636973,-0.024676015106636973,0.75,0.6,0.0001556498627912628,-0.024676015106636973,-0.018468098864279914,0.0,0.9556595976635176,0.8835619437199381,0.8835619437199381
2005-04-25,1426.73,1426.73,0.75,0.6,0.009981382244465875,0.009981382244465875,0.75,0.6,0.0001556498627912628,0.009981382244465875,0.007524949149047222,0.0,0.9628508875397345,0.8923811132168701,0.8923811132168701
2005-04-26,1420.43,1420.43,0.75,0.6,-0.004415691826764712,-0.004415691826764712,0.75,0.6,0.0001556498627912628,-0.004415691826764712,-0.003272856404375718,0.0,0.9596996148459912,0.8884406332288791,0.8884406332288791
2005-04-27,1429.11,1429.11,0.75,0.6,0.006110825595066149,0.006110825595066149,0.75,0.6,0.0001556498627912628,0.006110825595066149,0.004622031661997428,0.0,0.964135376851816,0.8938697389901109,0.8938697389901109
2005-04-28,1408.84,1408.84,0.75,0.6,-0.014183652762908339,-0.014183652762908339,0.75,0.6,0.0001556498627912628,-0.014183652762908339,-0.010598827106483438,0.0,0.9539166726853194,0.8811914009970037,0.8811914009970037
2005-04-29,1422.42,1422.42,0.75,0.6,0.009639135742880889,0.009639135742880889,0.75,0.6,0.0001556498627912628,0.009639135742880889,0.007268264272858482,0.0,0.9608499911566822,0.8896853245266731,0.8896853245266731
2005-05-02,1415.6,1415.6,0.75,0.6,-0.00479464574457622,-0.00479464574457622,0.75,0.6,0.0001556498627912628,-0.00479464574457622,-0.0035570718427343495,0.0,0.9574321787080472,0.8854195985714194,0.8854195985714194
2005-05-03,1436.6,1436.6,0.75,0.6,0.014834699067533208,0.014834699067533208,0.75,0.6,0.0001556498627912628,0.014834699067533208,0.011164936766347722,0.0,0.9681218484413892,0.8985545318647224,0.8985545318647224
2005-05-04,1453.2,1453.2,0.75,0.6,0.011555060559654828,0.011555060559654828,0.75,0.6,0.0001556498627912628,0.011555060559654828,0.008705207885438937,0.0,0.976549550390507,0.9089373838965716,0.9089373838965716
2005-05-05,1441.94,1441.94,0.75,0.6,-0.007748417285989517,-0.007748417285989517,0.75,0.6,0.0001556498627912628,-0.007748417285989517,-0.005772400498794322,0.0,0.9709125152787353,0.9018945577593054,0.9018945577593054
2005-05-06,1449.7,1449.7,0.75,0.6,0.00538163862574037,0.00538163862574037,0.75,0.6,0.0001556498627912628,0.00538163862574037,0.0040751414350030934,0.0,0.9748691210995107,0.9067482283476879,0.9067482283476879
2005-05-09,1463.38,1463.38,0.75,0.6,0.009436435124508646,0.009436435124508646,0.75,0.6,0.0001556498627912628,0.009436435124508646,0.0071162388090793005,0.0,0.9818065225728521,0.915304699178754,0.915304699178754
2005-05-10,1450.36,1450.36,0.75,0.6,-0.008897210567316849,-0.008897210567316849,0.75,0.6,0.0001556498627912628,-0.008897210567316849,-0.006633995459789821,0.0,0.9752932225597117,0.907161040536906,0.907161040536906
2005-05-11,1459.55,1459.55,0.75,0.6,0.0063363578697703815,0.0063363578697703815,0.75,0.6,0.0001556498627912628,0.0063363578697703815,0.004791180868025602,0.0,0.9799660287883549,0.9129091375352612,0.9129091375352612
2005-05-12,1454.79,1454.79,0.75,0.6,-0.0032612791613853,-0.0032612791613853,0.75,0.6,0.0001556498627912628,-0.0032612791613853,-0.002407046905341159,0.0,0.9776072045914204,0.9099318859887792,0.9099318859887792
2005-05-13,1470.63,1470.63,0.75,0.6,0.01088816942651527,0.01088816942651527,0.75,0.6,0.0001556498627912628,0.01088816942651527,0.008205039535584269,0.0,0.9856285103553651,0.9198393785300135,0.9198393785300135
2005-05-16,1480.68,1480.68,0.75,0.6,0.006833805919911784,0.006833805919911784,0.75,0.6,0.0001556498627912628,0.006833805919911784,0.005164266905631654,0.0,0.9907185590526403,0.9261253823203799,0.9261253823203799
2005-05-17,1490.14,1490.14,0.75,0.6,0.006388956425426251,0.006388956425426251,0.75,0.6,0.0001556498627912628,0.006388956425426251,0.004830629784767504,0.0,0.9955043536323219,0.932042357032506,0.932042357032506
2005-05-18,1509.26,1509.26,0.75,0.6,0.012831009166923923,0.012831009166923923,0.75,0.6,0.0001556498627912628,0.012831009166923923,0.009662169340890758,0.0,1.0051230852767115,0.9440014010595515,0.9440014010595515
2005-05-19,1521.43,1521.43,0.75,0.6,0.008063554324635902,0.008063554324635902,0.75,0.6,0.0001556498627912628,0.008063554324635902,0.006086578209174742,0.0,1.0112408455450952,0.9516134076395276,0.9516134076395276
