,price,pos,ret,pos_l,cash_ret,strat_ret,turnover,strat_nv,bh_nv
2005-01-31,1513.06,0.6,0.0,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.0000785849419846,1.0
2005-02-01,1527.91,0.6,0.009814548002062162,0.6,7.85849419846496e-05,0.0056201627780311575,0.6,1.0056991893801817,1.0098145480020622
2005-02-02,1515.45,0.6,-0.008154930591461551,0.6,7.85849419846496e-05,-0.00486152437808307,0.0,1.0008099582539915,1.0015795804528573
2005-02-03,1501.96,0.6,-0.00890164637566404,0.6,7.85849419846496e-05,-0.005309553848604564,0.0,0.9954961038884224,0.99266387321058
2005-02-04,1534.97,0.6,0.021977948813550308,0.6,7.85849419846496e-05,0.013218203264924044,0.0,1.0086547737390594,1.0144805890050628
2005-02-07,1522.72,0.6,-0.00798061199893163,0.6,7.85849419846496e-05,-0.004756933222565118,0.0,1.0038566703357612,1.0063844130437658
2005-02-08,1542.41,0.6,0.012930808027739937,0.6,7.85849419846496e-05,0.007789918793437822,0.0,1.0116766322779276,1.0193977766909446
2005-02-09,1504.6,0.6,-0.024513585881834388,0.6,7.85849419846496e-05,-0.014676717552306772,0.0,0.9968285400917155,0.9944086817442801
2005-02-10,1514.22,0.6,0.006393725907217984,0.6,7.85849419846496e-05,0.00386766952112465,0.0,1.0006839434540153,1.000766658295111
2005-02-11,1535.54,0.6,0.014079856295650561,0.6,7.85849419846496e-05,0.008479347754184196,0.0,1.0091690906025903,1.0148573090293844
2005-02-14,1540.01,0.6,0.002911028042252184,0.6,7.85849419846496e-05,0.0017780508021451702,0.0,1.0109634445136364,1.0178115871148536
2005-02-15,1561.17,0.6,0.013740170518373285,0.6,7.85849419846496e-05,0.00827553628781783,0.0,1.0193297091843663,1.0317964918773879
2005-02-16,1535.37,0.6,-0.016526066988220456,0.6,7.85849419846496e-05,-0.009884206216138412,0.0,1.0092544441365516,1.0147449539344113
2005-02-17,1519.22,0.6,-0.010518637201456293,0.6,7.85849419846496e-05,-0.0062797483440799155,0.0,1.0029165802122297,1.0040712199119668
2005-02-18,1512.73,0.6,-0.004271929016205656,0.6,7.85849419846496e-05,-0.0025317234329295334,0.0,1.000377472804833,0.9997818989332878
2005-02-21,1512.73,0.6,0.0,0.6,7.85849419846496e-05,3.143397679385984e-05,0.0,1.0004089186470984,0.9997818989332878
2005-02-22,1493.58,0.6,-0.012659231984557762,0.6,7.85849419846496e-05,-0.007564105213940796,0.0,0.9928417203294869,0.9871254279407297
2005-02-23,1489.99,0.6,-0.0024036208304877293,0.6,7.85849419846496e-05,-0.001410738521498778,0.0,0.991441080268867,0.9847527526998272
2005-02-24,1517.88,0.6,0.018718246431184138,0.6,7.85849419846496e-05,0.011262381835504343,0.0,1.00260706828226,1.0031855973986494
2005-02-25,1528.0,0.6,0.00666719371755331,0.6,7.85849419846496e-05,0.004031750207325846,0.0,1.0066493295376735,1.0098740301111657
2005-02-28,1498.17,0.6,-0.019522251308900507,0.6,7.85849419846496e-05,-0.011681916808546444,0.0,0.9948897358146354,0.9901590155050034
2005-03-01,1529.37,0.6,0.020825406996535678,0.6,7.85849419846496e-05,0.012526678174715266,0.0,1.0073523993545128,1.0107794799941843
2005-03-02,1541.14,0.6,0.007695979390206498,0.6,7.85849419846496e-05,0.004649021610917759,0.0,1.0120356024289219,1.0185584180402631
2005-03-03,1502.32,0.6,-0.025189145697340987,0.6,7.85849419846496e-05,-0.01508205344161073,0.0,0.9967720273882762,0.9929018016469938
2005-03-04,1530.59,0.6,0.01881756217050956,0.6,7.85849419846496e-05,0.011321971279099596,0.0,1.008057451654176,1.0115857930286971
2005-03-07,1552.53,0.6,0.01433434165909886,0.6,7.85849419846496e-05,0.008632038972253175,0.0,1.016759042863125,1.0260862094034608
2005-03-08,1527.5,0.6,-0.016122071715200303,0.6,7.85849419846496e-05,-0.009641809052326322,0.0,1.0069556463196125,1.0095435739494802
2005-03-09,1520.45,0.6,-0.004615384615384577,0.6,7.85849419846496e-05,-0.0027377967924368863,0.0,1.0041988063809926,1.0048841420697134
2005-03-10,1504.54,0.6,-0.010464007366240313,0.6,7.85849419846496e-05,-0.006246970442950328,0.0,0.9979256061186845,0.9943690270048778
2005-03-11,1501.99,0.6,-0.0016948701928828358,0.6,7.85849419846496e-05,-0.0009854881389358416,0.0,0.9969421622703142,0.9926837005802813
2005-03-14,1502.6,0.6,0.0004061278703586524,0.6,7.85849419846496e-05,0.0002751106990090513,0.0,0.997216431725448,0.9930868570975377
2005-03-15,1500.88,0.6,-0.0011446825502461344,0.6,7.85849419846496e-05,-0.0006553755533538208,0.0,0.9965628804546924,0.9919500879013394
2005-03-16,1482.62,0.6,-0.012166195831778803,0.6,7.85849419846496e-05,-0.007268283522273421,0.0,0.9893195788917744,0.9798818288765815
2005-03-17,1496.8,0.6,0.009564149950762824,0.6,7.85849419846496e-05,0.005769923947251554,0.0,0.9950278776215068,0.9892535656219849
2005-03-18,1475.26,0.6,-0.014390700160342051,0.6,7.85849419846496e-05,-0.00860298611941137,0.0,0.9864676666019017,0.9750175141765696
2005-03-21,1490.57,0.6,0.010377831704242002,0.6,7.85849419846496e-05,0.006258132999339062,0.0,0.992641112459044,0.9851360818473824
2005-03-22,1464.99,0.6,-0.01716122020435129,0.6,7.85849419846496e-05,-0.010265298145816913,0.0,0.9824513554878566,0.9682299446155477
2005-03-23,1480.13,0.6,0.010334541532706742,0.6,7.85849419846496e-05,0.006232158896417906,0.0,0.988574148443258,0.9782361571913875
2005-03-24,1469.94,0.6,-0.006884530412869183,0.6,7.85849419846496e-05,-0.004099284270927649,0.0,0.9845217019858988,0.9715014606162351
