sigmoid_k,max_leverage,base_position,inertia,crisis_vix,fed_block_weight,restrictive_threshold,pivot_relief,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
1.1,1.4,0.45,0.05,38.0,0.25,0.5,0.6,0.7,-inf,recent_1y maxDD=-0.2039 超过绝对阈值 0.2,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.94,-0.2039,0.19079999999999997,-0.03099152542372896,-0.043352747252747265,0.63,-0.2354,0.149,-1.7161809917355377,-0.0758582781456954
1.1,1.4,0.45,0.05,38.0,0.25,0.4,0.6,0.7,-inf,recent_1y maxDD=-0.2039 超过绝对阈值 0.2,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.94,-0.2039,0.19079999999999997,-0.03099152542372896,-0.043352747252747265,0.63,-0.2354,0.14859999999999998,-1.7307809917355383,-0.0758582781456954
1.1,1.4,0.45,0.05,38.0,0.25,0.4,0.8,0.3,-inf,full_pre_cutoff 跑输 ETF -180.96pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.19760000000000003,0.1465,-1.8095809917355377,-0.11365827814569537
1.1,1.4,0.45,0.05,38.0,0.25,0.4,0.8,0.5,-inf,full_pre_cutoff 跑输 ETF -185.02pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.1977,0.1454,-1.850180991735538,-0.11355827814569541
1.1,1.4,0.45,0.05,38.0,0.25,0.4,0.8,0.7,-inf,recent_1y maxDD=-0.2039 超过绝对阈值 0.2,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.94,-0.2039,0.19079999999999997,-0.03099152542372896,-0.043352747252747265,0.63,-0.2354,0.14859999999999998,-1.7307809917355383,-0.0758582781456954
1.1,1.4,0.45,0.05,38.0,0.25,0.5,0.6,0.3,-inf,full_pre_cutoff 跑输 ETF -179.43pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.19760000000000003,0.1469,-1.7942809917355378,-0.11365827814569537
1.1,1.4,0.45,0.05,38.0,0.25,0.5,0.6,0.5,-inf,full_pre_cutoff 跑输 ETF -183.56pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.1977,0.1458,-1.8355809917355383,-0.11355827814569541
1.1,1.4,0.45,0.05,38.0,0.25,0.5,0.8,0.3,-inf,full_pre_cutoff 跑输 ETF -179.44pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.19760000000000003,0.1469,-1.7943809917355376,-0.11365827814569537
1.1,1.4,0.45,0.05,38.0,0.3,0.4,0.8,0.5,-inf,recent_1y maxDD=-0.2016 超过绝对阈值 0.2,6.64,-0.0652,0.4329,-0.02264599156118141,-0.005698041863605827,0.91,-0.2016,0.1844,-0.03729152542372893,-0.04565274725274726,0.72,-0.20149999999999998,0.146,-1.8282809917355376,-0.10975827814569541
1.1,1.4,0.45,0.05,38.0,0.25,0.5,0.8,0.5,-inf,full_pre_cutoff 跑输 ETF -183.56pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.1977,0.1458,-1.8355809917355383,-0.11355827814569541
