,NDX,Position,ret,pos_l,cash_ret,strat_ret,turnover,strat_nv,bh_nv
2005-09-30,1601.66,1.1669552434729777,0.0,0.0,0.0001556498627912628,0.0001556498627912628,0.0,1.0001556498627913,1.0
2005-10-03,1605.59,1.1669552434729777,0.0024537042818075783,1.1669552434729777,0.0001556498627912628,0.002246759415479339,1.1669552434729777,1.0024027589860653,1.0024537042818076
2005-10-04,1595.54,1.1669552434729777,-0.006259381286629839,1.1669552434729777,0.0001556498627912628,-0.007337543853700947,0.0,0.9950475847829342,0.9961789643245132
2005-10-05,1571.52,1.1669552434729777,-0.015054464319290028,1.1669552434729777,0.0001556498627912628,-0.017601012115443977,0.0,0.9775337401877265,0.9811820236504626
2005-10-06,1552.94,1.1669552434729777,-0.011822948482997253,1.1669552434729777,0.0001556498627912628,-0.013829977765916155,0.0,0.9640144702954975,0.9695815591324002
2005-10-07,1555.92,1.1669552434729777,0.0019189408476825154,1.1669552434729777,0.0001556498627912628,0.0022061920437459696,0.0,0.9661412713499193,0.971442128791379
2005-10-10,1546.99,1.1669552434729777,-0.005739369633400271,1.1669552434729777,0.0001556498627912628,-0.0067307135282976506,0.0,0.9596384512245977,0.9658666633367881
2005-10-11,1539.31,1.1669552434729777,-0.0049644794083996135,1.1669552434729777,0.0001556498627912628,-0.005826451317117178,0.0,0.9540471645065037,0.961071638175393
2005-10-12,1521.19,1.1669552434729777,-0.0117715080133306,1.1669552434729777,0.0001556498627912628,-0.013769949040111942,0.0,0.9409099836693858,0.9497583756852266
2005-10-13,1533.8,1.1669552434729777,0.008289562776510495,1.1669552434729777,0.0001556498627912628,0.009640422707775716,0.0,0.9499807536419251,0.9576314573629859
2005-10-14,1544.29,1.1669552434729777,0.0068392228452209824,1.1669552434729777,0.0001556498627912628,0.00794794092013918,0.0,0.9575311445471405,0.9641809123034851
2005-10-17,1549.88,1.1669552434729777,0.0036197864390756784,1.1669552434729777,0.0001556498627912628,0.004191002724960119,0.0,0.9615441601831717,0.9676710412946569
2005-10-18,1538.43,1.1669552434729777,-0.007387668722739882,1.1669552434729777,0.0001556498627912628,-0.008654204793414244,0.0,0.953222760103035,0.9605222082089832
2005-10-19,1569.61,1.1669552434729777,0.02026741548201727,1.1669552434729777,0.0001556498627912628,0.023618040728013837,0.0,0.9757360140740181,0.9799895108824593
2005-10-20,1555.59,1.1669552434729777,-0.008932155121335827,1.1669552434729777,0.0001556498627912628,-0.010456551294728477,0.0,0.9655331803927393,0.9712360925539751
2005-10-21,1565.12,1.1669552434729777,0.006126292917799647,1.1669552434729777,0.0001556498627912628,0.0071159836031060445,0.0,0.9724038986726689,0.9771861693492999
2005-10-24,1590.65,1.1669552434729777,0.01631184829278287,1.1669552434729777,0.0001556498627912628,0.01900207085562709,0.0,0.9908815864555349,0.9931258818975314
2005-10-25,1585.82,1.1669552434729777,-0.003036494514821131,1.1669552434729777,0.0001556498627912628,-0.003576579236219077,0.0,0.9873376199478662,0.9901102606046226
2005-10-26,1575.14,1.1669552434729777,-0.00673468615605799,1.1669552434729777,0.0001556498627912628,-0.007892203363328366,0.0,0.979545350662973,0.9834421787395576
2005-10-27,1543.38,1.1669552434729777,-0.020163287072895053,1.1669552434729777,0.0001556498627912628,-0.023562779615737415,0.0,0.9564645394416812,0.9636127517700386
2005-10-28,1557.11,1.1669552434729777,0.008896059298422854,1.1669552434729777,0.0001556498627912628,0.010348177004169467,0.0,0.9663622037940353,0.9721851079505013
2005-10-31,1579.18,0.06516031993074063,0.014173693573350743,1.1669552434729777,0.0001556498627912628,0.016506939994429273,0.0,0.9823138867049479,0.9859645617671666
2005-11-01,1576.52,0.06516031993074063,-0.0016844184956750219,0.06516031993074063,0.0001556498627912628,-0.0005151470419119516,1.101794923542237,0.9818078506119828,0.9843037848232459
2005-11-02,1597.29,0.06516031993074063,0.013174587065181598,0.06516031993074063,0.0001556498627912628,0.0010039679760572384,0.0,0.9827935542526388,0.9972715807349875
2005-11-03,1619.67,0.06516031993074063,0.014011231523392897,0.06516031993074063,0.0001556498627912628,0.001058483996622568,0.0,0.983833825501799,1.0112445837443653
2005-11-04,1628.3,0.06516031993074063,0.005328245877246562,0.06516031993074063,0.0001556498627912628,0.000492697873965644,0.0,0.9843185583359593,1.0166327435285891
2005-11-07,1629.27,0.06516031993074063,0.0005957133206411225,0.06516031993074063,0.0001556498627912628,0.00018432453849458766,0.0,0.9844999923999561,1.017238365196109
2005-11-08,1628.4,0.06516031993074063,-0.0005339814763666295,0.06516031993074063,0.0001556498627912628,0.00011071326409746945,0.0,0.9846089896076186,1.0166951787520448
2005-11-09,1630.21,0.06516031993074063,0.0011115205109308857,0.06516031993074063,0.0001556498627912628,0.00021793470003644505,0.0,0.9848235700724218,1.0178252562965924
