label,start,end,n_days,strat_CAGR,strat_Sharpe,strat_MaxDD,strat_Calmar,bh_CAGR,bh_Sharpe,bh_MaxDD,bh_Calmar,alpha_CAGR,alpha_Sharpe,dd_improve,tag
全样本(基线),2005-02-01,2026-05-22,2609,0.1743638125318201,0.8152760890875419,-0.19574018624524622,0.8907921049658996,0.21039888521741035,0.763661454832884,-0.35563139355132983,0.5916206753188187,-0.03603507268559025,0.051614634254657954,0.1598912073060836,A1_FullSample
Train 2005-2019 (70%),2005-02-01,2019-12-31,942,0.21002374542851543,1.0015193855717106,-0.13191910159979262,1.5920647039097604,0.21283561650844596,0.9786440561203497,-0.2298679665490885,0.9259037686009839,-0.002811871079930528,0.02287532945136095,0.09794886494929589,A2_Train_05-19
Test 2020-2026 (30%),2020-01-01,2026-05-22,1667,0.15477075667801476,0.7102756593005194,-0.19574018624524614,0.7906948473222556,0.20912390388380842,0.7020304036095106,-0.3556313935513305,0.5880355550040164,-0.05435314720579365,0.008245255691008757,0.15989120730608436,A2_Test_20-26
Train 2005-2017 (60%),2005-02-01,2017-12-31,420,0.2850267785387588,1.568149534878932,-0.0728921844483429,3.9102515680642145,0.2712464804152963,1.7476819792943588,-0.0728921844483434,3.721201147532091,0.013780298123462487,-0.1795324444154267,4.996003610813204e-16,A3_Train_05-17
Test 2018-2026 (40%),2018-01-01,2026-05-22,2189,0.15451376033683606,0.696287120287357,-0.19574018624524658,0.7893819010841384,0.1993339477380498,0.6916367603473575,-0.3556313935513302,0.560507174992353,-0.04482018740121374,0.0046503599399994044,0.15989120730608364,A3_Test_18-26
Test 2014-2026 (60%),2014-01-01,2026-05-22,2609,0.1743638125318201,0.8152760890875419,-0.19574018624524622,0.8907921049658996,0.21039888521741035,0.763661454832884,-0.35563139355132983,0.5916206753188187,-0.03603507268559025,0.051614634254657954,0.1598912073060836,A4_Test_14-26
Test 2011-2026 (70%),2011-01-01,2026-05-22,2609,0.1743638125318201,0.8152760890875419,-0.19574018624524622,0.8907921049658996,0.21039888521741035,0.763661454832884,-0.35563139355132983,0.5916206753188187,-0.03603507268559025,0.051614634254657954,0.1598912073060836,A5_Test_11-26
