fast_window,slow_window,momentum_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,125,100,0.7,-inf,recent_6m 跑输 ETF -6.90pp 超过容忍带 -5.0pp,5.6,-0.0565,0.3161,-0.0690199112863481,0.0030434083601286258,0.31,-0.1957,0.0602,-0.05010757780784836,-0.05364036939313985,0.45,-0.2361,0.10640000000000001,-1.636277419354839,-0.06092127659574473
15,125,100,0.5,-inf,recent_6m 跑输 ETF -11.43pp 超过容忍带 -5.0pp,3.41,-0.0621,0.2115,-0.114319911286348,0.008643408360128627,0.16,-0.1607,0.0256,-0.08430757780784837,-0.08864036939313985,0.44,-0.1955,0.0867,-2.275177419354839,-0.10152127659574472
15,125,100,0.3,-inf,recent_6m 跑输 ETF -14.90pp 超过容忍带 -5.0pp,2.06,-0.0654,0.1344,-0.14901991128634817,0.011943408360128624,0.02,-0.12480000000000001,0.0025,-0.10720757780784851,-0.12454036939313985,0.45,-0.1548,0.0694,-2.740677419354839,-0.14222127659574474
15,125,80,0.7,-inf,recent_6m 跑输 ETF -6.95pp 超过容忍带 -5.0pp,5.58,-0.0565,0.315,-0.06951991128634805,0.0030434083601286258,0.31,-0.1957,0.0599,-0.05040757780784855,-0.05364036939313985,0.45,-0.2361,0.1051,-1.6815774193548392,-0.06092127659574473
15,125,80,0.5,-inf,recent_6m 跑输 ETF -11.35pp 超过容忍带 -5.0pp,3.44,-0.0621,0.2133,-0.11351991128634809,0.008643408360128627,0.16,-0.1607,0.0264,-0.08350757780784845,-0.08864036939313985,0.44,-0.1955,0.0851,-2.3223774193548388,-0.10152127659574472
15,125,80,0.3,-inf,recent_6m 跑输 ETF -14.82pp 超过容忍带 -5.0pp,2.08,-0.0653,0.136,-0.14821991128634804,0.011843408360128621,0.03,-0.12480000000000001,0.0032,-0.10650757780784836,-0.12454036939313985,0.43,-0.1548,0.0661,-2.820177419354839,-0.14222127659574474
15,100,125,0.7,-inf,recent_6m 跑输 ETF -6.47pp 超过容忍带 -5.0pp,5.79,-0.0564,0.3264,-0.06471991128634813,0.002943408360128623,0.34,-0.1948,0.06559999999999999,-0.04470757780784851,-0.05454036939313986,0.44,-0.2361,0.1035,-1.7369774193548388,-0.06092127659574473
15,100,125,0.5,-inf,recent_6m 跑输 ETF -10.60pp 超过容忍带 -5.0pp,3.72,-0.062,0.2304,-0.10601991128634802,0.008543408360128624,0.21,-0.1606,0.0335,-0.07640757780784857,-0.08874036939313987,0.42,-0.1955,0.08289999999999999,-2.385777419354839,-0.10152127659574472
15,100,125,0.3,-inf,recent_6m 跑输 ETF -14.23pp 超过容忍带 -5.0pp,2.28,-0.0653,0.149,-0.14231991128634802,0.011843408360128621,0.05,-0.1265,0.006500000000000001,-0.1032075778078485,-0.12284036939313986,0.41,-0.1549,0.0635,-2.881777419354839,-0.14212127659574472
15,100,100,0.7,-inf,recent_6m 跑输 ETF -6.95pp 超过容忍带 -5.0pp,5.58,-0.0565,0.315,-0.06951991128634805,0.0030434083601286258,0.31,-0.1957,0.0599,-0.05040757780784855,-0.05364036939313985,0.45,-0.2361,0.1072,-1.6075774193548389,-0.06092127659574473
15,100,100,0.5,-inf,recent_6m 跑输 ETF -11.35pp 超过容忍带 -5.0pp,3.44,-0.0621,0.2133,-0.11351991128634809,0.008643408360128627,0.16,-0.1607,0.0264,-0.08350757780784845,-0.08864036939313985,0.45,-0.1954,0.0872,-2.261477419354839,-0.10162127659574474
15,100,100,0.3,-inf,recent_6m 跑输 ETF -14.82pp 超过容忍带 -5.0pp,2.08,-0.0653,0.136,-0.14821991128634804,0.011843408360128621,0.03,-0.12480000000000001,0.0032,-0.10650757780784836,-0.12454036939313985,0.45,-0.1549,0.069,-2.750277419354839,-0.14212127659574472
15,100,80,0.7,-inf,recent_6m 跑输 ETF -6.06pp 超过容忍带 -5.0pp,5.96,-0.0564,0.3362,-0.06061991128634814,0.002943408360128623,0.35,-0.1957,0.06860000000000001,-0.041807577807848384,-0.05364036939313985,0.45,-0.2361,0.10679999999999999,-1.624077419354839,-0.06092127659574473
15,150,80,0.5,-inf,recent_6m 跑输 ETF -11.50pp 超过容忍带 -5.0pp,3.38,-0.062,0.20989999999999998,-0.11501991128634814,0.008543408360128624,0.16,-0.1607,0.024900000000000002,-0.08500757780784851,-0.08864036939313985,0.43,-0.1954,0.08410000000000001,-2.349677419354839,-0.10162127659574474
15,150,80,0.7,-inf,recent_6m 跑输 ETF -7.21pp 超过容忍带 -5.0pp,5.46,-0.0565,0.3089,-0.07211991128634798,0.0030434083601286258,0.29,-0.1957,0.0575,-0.052707577807848516,-0.05364036939313985,0.44,-0.2361,0.1039,-1.7245774193548389,-0.06092127659574473
15,150,100,0.3,-inf,recent_6m 跑输 ETF -14.48pp 超过容忍带 -5.0pp,2.2,-0.0652,0.1435,-0.14481991128634797,0.011743408360128618,0.05,-0.12480000000000001,0.0064,-0.1033075778078485,-0.12454036939313985,0.45,-0.1549,0.0693,-2.743277419354839,-0.14212127659574472
20,100,100,0.5,-inf,recent_6m 跑输 ETF -8.67pp 超过容忍带 -5.0pp,5.85,-0.047,0.2749,-0.08671991128634815,-0.006456591639871376,0.4,-0.1533,0.061200000000000004,-0.04910757780784847,-0.09604036939313987,0.35,-0.2475,0.0876,-2.248877419354839,-0.049521276595744734
20,125,80,0.7,-inf,recent_6m 跑输 ETF -5.33pp 超过容忍带 -5.0pp,7.13,-0.0496,0.35350000000000004,-0.053319911286348054,-0.0038565916398713776,0.42,-0.19190000000000002,0.0803,-0.03020757780784855,-0.057440369393139845,0.41,-0.2594,0.10529999999999999,-1.6754774193548392,-0.03762127659574471
20,125,80,0.5,-inf,recent_6m 跑输 ETF -8.67pp 超过容忍带 -5.0pp,5.85,-0.047,0.2749,-0.08671991128634815,-0.006456591639871376,0.4,-0.1533,0.061200000000000004,-0.04910757780784847,-0.09604036939313987,0.34,-0.24739999999999998,0.0852,-2.318177419354839,-0.04962127659574475
20,125,80,0.3,-inf,recent_6m 跑输 ETF -11.49pp 超过容忍带 -5.0pp,4.72,-0.044500000000000005,0.2102,-0.11491991128634815,-0.008956591639871371,0.41,-0.1151,0.0467,-0.06350757780784844,-0.13424036939313988,0.28,-0.23550000000000001,0.0652,-2.843377419354839,-0.06152127659574472
20,100,125,0.7,-inf,recent_6m 跑输 ETF -5.06pp 超过容忍带 -5.0pp,7.27,-0.0495,0.36,-0.05061991128634813,-0.0039565916398713735,0.44,-0.1909,0.08410000000000001,-0.026407577807848526,-0.058440369393139874,0.4,-0.2595,0.1032,-1.7499774193548387,-0.037521276595744724
20,100,125,0.5,-inf,recent_6m 跑输 ETF -8.23pp 超过容忍带 -5.0pp,6.07,-0.046900000000000004,0.285,-0.08231991128634797,-0.006556591639871372,0.43,-0.1532,0.0654,-0.04490757780784849,-0.09614036939313986,0.33,-0.24739999999999998,0.0824,-2.399877419354839,-0.04962127659574475
20,100,125,0.3,-inf,recent_6m 跑输 ETF -11.36pp 超过容忍带 -5.0pp,4.79,-0.044500000000000005,0.21309999999999998,-0.11361991128634807,-0.008956591639871371,0.39,-0.1168,0.0455,-0.06460757780784854,-0.13254036939313985,0.26,-0.2354,0.0603,-2.9555774193548388,-0.061621276595744734
20,100,100,0.7,-inf,recent_6m 跑输 ETF -5.33pp 超过容忍带 -5.0pp,7.13,-0.0496,0.35350000000000004,-0.053319911286348054,-0.0038565916398713776,0.42,-0.19190000000000002,0.0803,-0.03020757780784855,-0.057440369393139845,0.41,-0.2595,0.10679999999999999,-1.6228774193548388,-0.037521276595744724
20,100,100,0.3,-inf,recent_6m 跑输 ETF -11.49pp 超过容忍带 -5.0pp,4.72,-0.044500000000000005,0.2102,-0.11491991128634815,-0.008956591639871371,0.41,-0.1151,0.0467,-0.06350757780784844,-0.13424036939313988,0.29,-0.23550000000000001,0.06849999999999999,-2.763977419354839,-0.06152127659574472
15,150,100,0.5,-inf,recent_6m 跑输 ETF -11.05pp 超过容忍带 -5.0pp,3.55,-0.062,0.22010000000000002,-0.11051991128634797,0.008543408360128624,0.18,-0.1607,0.0292,-0.08070757780784854,-0.08864036939313985,0.45,-0.1954,0.08710000000000001,-2.262977419354839,-0.10162127659574474
20,100,80,0.7,-inf,full_pre_cutoff maxDD=-0.2596 超过绝对阈值 0.2,7.56,-0.0496,0.37520000000000003,-0.04431991128634816,-0.0038565916398713776,0.47,-0.19190000000000002,0.0894,-0.021207577807848432,-0.057440369393139845,0.42,-0.2596,0.1082,-1.571877419354839,-0.037421276595744735
20,100,80,0.5,-inf,recent_6m 跑输 ETF -7.10pp 超过容忍带 -5.0pp,6.62,-0.0471,0.3116,-0.0710199112863481,-0.006356591639871373,0.5,-0.1533,0.0768,-0.0336075778078484,-0.09604036939313987,0.36,-0.24739999999999998,0.0886,-2.217877419354839,-0.04962127659574475
20,100,80,0.3,-inf,recent_6m 跑输 ETF -9.41pp 超过容忍带 -5.0pp,5.79,-0.044500000000000005,0.2577,-0.094119911286348,-0.008956591639871371,0.58,-0.1151,0.06709999999999999,-0.04330757780784844,-0.13424036939313988,0.29,-0.2354,0.0692,-2.745277419354839,-0.061621276595744734
15,150,125,0.7,-inf,recent_6m 跑输 ETF -6.47pp 超过容忍带 -5.0pp,5.79,-0.0564,0.3264,-0.06471991128634813,0.002943408360128623,0.33,-0.1957,0.0643,-0.046007577807848365,-0.05364036939313985,0.43,-0.2361,0.1016,-1.8023774193548388,-0.06092127659574473
15,150,125,0.5,-inf,recent_6m 跑输 ETF -10.60pp 超过容忍带 -5.0pp,3.72,-0.062,0.2304,-0.10601991128634802,0.008543408360128624,0.21,-0.1607,0.0334,-0.07660757780784855,-0.08864036939313985,0.41,-0.1955,0.0793,-2.485277419354839,-0.10152127659574472
15,150,125,0.3,-inf,recent_6m 跑输 ETF -13.78pp 超过容忍带 -5.0pp,2.44,-0.0652,0.159,-0.13781991128634807,0.011743408360128618,0.1,-0.12480000000000001,0.0129,-0.09680757780784854,-0.12454036939313985,0.37,-0.1593,0.059000000000000004,-2.984077419354839,-0.13772127659574473
15,150,100,0.7,-inf,recent_6m 跑输 ETF -6.80pp 超过容忍带 -5.0pp,5.64,-0.0565,0.3186,-0.06801991128634799,0.0030434083601286258,0.31,-0.1957,0.061399999999999996,-0.04890757780784849,-0.05364036939313985,0.45,-0.2361,0.1066,-1.6300774193548389,-0.06092127659574473
30,150,125,0.7,-inf,full_pre_cutoff maxDD=-0.2595 超过绝对阈值 0.2,7.62,-0.051699999999999996,0.39390000000000003,-0.03661991128634812,-0.00175659163987138,0.44,-0.1985,0.0874,-0.023207577807848434,-0.05084036939313985,0.41,-0.2595,0.1056,-1.666577419354839,-0.037521276595744724
