year,strat,bh,pos
2005,-0.02205485563429077,0.027184296292596555,0.7042520017372039
2006,0.07360670400889258,0.0678944809141735,0.6868519934375888
2007,0.1232270201032648,0.18670954522169847,0.7521585864934713
2008,-0.13668457427560987,-0.41885339076132,0.407943125642464
2009,0.2291166424455533,0.5353526183303761,0.4686208922065945
2010,0.13786791680386346,0.19219914960409867,0.7925655374258596
2011,-0.010034812687173544,0.027039578692973354,0.7200227933106661
2012,0.10981811471613745,0.1681863879218375,0.7395786558253745
2013,0.3158392099458158,0.34990398093899455,0.9217256868291397
2014,0.11872590658142079,0.17936525612471987,0.8227547053420986
2015,-0.014883478262692984,0.0842696894445123,0.5779485944486298
2016,0.04932705580505026,0.05885785072508298,0.5366643331905278
2017,0.24875930813709957,0.31515620052553395,0.7961903884056266
2018,0.032038665575351066,-0.01039018701085681,0.5325191314809639
2019,0.16329622235814134,0.3796406296406287,0.6602637460171134
2020,0.29103966164530126,0.4758017512741799,0.6442734103913341
2021,0.1824365320536392,0.2662729239277879,0.713166226098294
2022,-0.1538397684488042,-0.3296748545350271,0.33901895252996583
2023,0.3440045426329694,0.5380529371759524,0.742492293262329
2024,0.22763554824516685,0.2487969461420556,0.9541411542293541
2025,0.1852049113407872,0.20167740885401164,0.9369773583368481
2026,0.10656786236649962,0.16267106537266507,0.7771272738253729
