,price,pos,ret,pos_l,cash_ret,strat_ret,turnover,strat_nv,bh_nv
2016-05-23,2048.04,0.3,0.0,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.0000785849419846,1.0
2016-05-24,2076.06,0.3,0.013681373410675546,0.3,7.85849419846496e-05,0.004009421482591919,0.3,1.0040883215047312,1.0136813734106755
2016-05-25,2090.54,0.3,0.006974750248066153,0.3,7.85849419846496e-05,0.002147434533809101,0.0,1.0062445354413248,1.0207515478213316
2016-05-26,2090.1,0.3,-0.0002104719354808493,0.3,7.85849419846496e-05,-8.132121255000069e-06,0.0,1.0062363525387503,1.0205367082674166
2016-05-27,2099.06,0.3,0.004286876226017977,0.3,7.85849419846496e-05,0.0013410723271946477,0.0,1.0075857882657573,1.024911622819867
2016-05-30,2099.06,0.3,0.0,0.3,7.85849419846496e-05,5.500945938925472e-05,0.0,1.007641215015258,1.024911622819867
2016-05-31,2096.96,1.0,-0.0010004478195001498,0.3,7.85849419846496e-05,-0.0002451248864607902,0.0,1.0073942170768342,1.0238862522216363
2016-06-01,2099.33,1.0,0.001130207538531991,1.0,7.85849419846496e-05,0.0007802075385319909,0.7,1.008180193639271,1.0250434561824964
2016-06-02,2105.26,1.0,0.002824710741046177,1.0,7.85849419846496e-05,0.002824710741046177,0.0,1.0110280110611538,1.0279389074432141
2016-06-03,2099.13,1.0,-0.0029117543676315805,1.0,7.85849419846496e-05,-0.0029117543676315805,0.0,1.0080841458341485,1.0249458018398079
2016-06-06,2109.41,1.0,0.004897266962979874,1.0,7.85849419846496e-05,0.004897266962979874,0.0,1.0130210030174458,1.029965235054003
2016-06-07,2112.13,1.0,0.0012894600859958416,1.0,7.85849419846496e-05,0.0012894600859958416,0.0,1.0143272531671124,1.0312933341145685
2016-06-08,2119.12,1.0,0.003309455383901483,1.0,7.85849419846496e-05,0.003309455383901483,0.0,1.0176841239561443,1.0347063533915357
2016-06-09,2115.48,1.0,-0.0017176941371889187,1.0,7.85849419846496e-05,-0.0017176941371889187,0.0,1.0159360539029145,1.0329290443546029
2016-06-10,2096.07,1.0,-0.009175222644506098,1.0,7.85849419846496e-05,-0.009175222644506098,0.0,1.0066146144157744,1.0234516903966724
2016-06-13,2079.06,1.0,-0.008115186992800894,1.0,7.85849419846496e-05,-0.008115186992800894,0.0,0.9984457485901042,1.0151461885510051
2016-06-14,2075.32,1.0,-0.0017988898829277566,1.0,7.85849419846496e-05,-0.0017988898829277566,0.0,0.9966496546343132,1.0133200523427282
2016-06-15,2071.5,1.0,-0.0018406799915194894,1.0,7.85849419846496e-05,-0.0018406799915194894,0.0,0.994815141556473,1.0114548543973754
2016-06-16,2077.99,1.0,0.0031329954139511784,1.0,7.85849419846496e-05,0.0031329954139511784,0.0,0.9979318928326986,1.014623737817621
2016-06-17,2071.22,1.0,-0.003257956005563112,1.0,7.85849419846496e-05,-0.003257956005563112,0.0,0.9946806746293013,1.0113181383176113
2016-06-20,2083.25,1.0,0.005808171029634712,1.0,7.85849419846496e-05,0.005808171029634712,0.0,1.0004579501074207,1.0171920470303317
2016-06-21,2088.9,1.0,0.0027121084843393373,1.0,7.85849419846496e-05,0.0027121084843393373,0.0,1.0031713006021317,1.0199507822112852
2016-06-22,2085.45,1.0,-0.001651586959643958,1.0,7.85849419846496e-05,-0.001651586959643958,0.0,1.0015144759637682,1.0182662447999065
2016-06-23,2113.32,1.0,0.013364022153492305,1.0,7.85849419846496e-05,0.013364022153492305,0.0,1.0148987376075913,1.031874377453566
2016-06-24,2037.41,1.0,-0.03591978498287063,1.0,7.85849419846496e-05,-0.03591978498287063,0.0,0.9784437931733397,0.9948096716861003
2016-06-27,2000.54,1.0,-0.01809650487628911,1.0,7.85849419846496e-05,-0.01809650487628911,0.0,0.9607373802990036,0.9768070936114532
2016-06-28,2036.09,1.0,0.01777020204544777,1.0,7.85849419846496e-05,0.01777020204544777,0.0,0.9778098776595311,0.9941651530243554
2016-06-29,2070.77,1.0,0.01703264590465059,1.0,7.85849419846496e-05,0.01703264590465059,0.0,0.9944645670677756,1.011098416046562
2016-06-30,2098.86,0.6,0.013565002390415248,1.0,7.85849419846496e-05,0.013565002390415248,0.0,1.0079544812972332,1.0248139684771786
2016-07-01,2102.95,0.6,0.0019486769007937,0.6,7.85849419846496e-05,0.0010006401172700796,0.4,1.0089630809876016,1.0268109997851609
2016-07-04,2102.95,0.6,0.0,0.6,7.85849419846496e-05,3.143397679385984e-05,0.0,1.0089947967096753,1.0268109997851609
2016-07-05,2088.55,0.6,-0.006847523716683512,0.6,7.85849419846496e-05,-0.004077080253216247,0.0,1.0048810439484124,1.0197798871115804
2016-07-06,2099.73,0.6,0.005352996097771179,0.6,7.85849419846496e-05,0.0032432316354565668,0.0,1.0081401059400164,1.0252387648678742
2016-07-07,2097.9,0.6,-0.0008715406266519565,0.6,7.85849419846496e-05,-0.000491490399197314,0.0,1.0076446147569011,1.0243452276322733
2016-07-08,2129.9,0.6,0.015253348586681925,0.6,7.85849419846496e-05,0.009183443128803015,0.0,1.0168982617705657,1.0399699224624523
2016-07-11,2137.16,0.6,0.0034086107328981097,0.6,7.85849419846496e-05,0.0020766004165327255,0.0,1.0190099531245298,1.043514775102049
2016-07-12,2152.14,0.6,0.007009302064421963,0.6,7.85849419846496e-05,0.004237015215447038,0.0,1.0233275138006104,1.0508290853694267
2016-07-13,2152.43,0.6,0.00013474959807435738,0.6,7.85849419846496e-05,0.00011228373563847426,0.0,1.0234424168366414,1.050970684166325
2016-07-14,2163.75,0.6,0.005259172191430128,0.6,7.85849419846496e-05,0.0031869372916519365,0.0,1.0267040636407165,1.0564979199625009
2016-07-15,2161.74,0.6,-0.0009289428076257877,0.6,7.85849419846496e-05,-0.0005259317077816127,0.0,1.0261640874191398,1.05551649381848
2016-07-18,2166.89,0.6,0.0023823401519147414,0.6,7.85849419846496e-05,0.0014608380679427045,0.0,1.0276631469819972,1.058031093142712
2016-07-19,2163.78,0.6,-0.001435236675604079,0.6,7.85849419846496e-05,-0.0008297080285685876,0.0,1.0268104866182821,1.056512568113904
2016-07-20,2173.02,0.6,0.004270304744474762,0.6,7.85849419846496e-05,0.002593616823478717,0.0,1.0294736395708997,1.061024198746118
2016-07-21,2165.17,0.6,-0.0036124840084306165,0.6,7.85849419846496e-05,-0.00213605642826451,0.0,1.0272746257853653,1.0571912657955898
2016-07-22,2175.03,0.6,0.004553914935085945,0.6,7.85849419846496e-05,0.002763782937845427,0.0,1.0301137898685926,1.0620056248901386
