fast_window,slow_window,momentum_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,120,150,0.5,-inf,recent_6m 跑输 ETF -9.90pp 超过容忍带 -5.0pp,4.96,-0.0506,0.2509,-0.09904599156118143,-0.02029804186360582,0.65,-0.166,0.10800000000000001,-0.11269152542372884,-0.08125274725274725,0.38,-0.2579,0.0981,-3.303480991735538,-0.05335827814569538
15,120,150,0.3,-inf,recent_6m 跑输 ETF -13.35pp 超过容忍带 -5.0pp,3.84,-0.045,0.1728,-0.1335459915611814,-0.025898041863605822,0.47,-0.138,0.0649,-0.15529152542372882,-0.10925274725274725,0.24,-0.2672,0.0632,-4.056680991735538,-0.044058278145695406
15,120,120,0.7,-inf,recent_6m 跑输 ETF -5.51pp 超过容忍带 -5.0pp,6.24,-0.0567,0.3539,-0.055145991561181384,-0.01419804186360582,0.84,-0.1941,0.1628,-0.05859152542372881,-0.05315274725274727,0.54,-0.254,0.13699999999999998,-2.151980991735538,-0.057258278145695396
15,120,120,0.5,-inf,recent_6m 跑输 ETF -8.87pp 超过容忍带 -5.0pp,5.44,-0.050499999999999996,0.2747,-0.08874599156118146,-0.020398041863605824,0.71,-0.166,0.1183,-0.10259152542372885,-0.08125274725274725,0.39,-0.2565,0.1001,-3.252980991735538,-0.054758278145695394
15,120,120,0.3,-inf,recent_6m 跑输 ETF -11.76pp 超过容忍带 -5.0pp,4.63,-0.045,0.20829999999999999,-0.11764599156118138,-0.025898041863605822,0.59,-0.138,0.0808,-0.13959152542372877,-0.10925274725274725,0.24,-0.2639,0.0642,-4.038580991735538,-0.047358278145695376
15,120,100,0.7,-inf,recent_6m 跑输 ETF -5.73pp 超过容忍带 -5.0pp,6.15,-0.0567,0.34869999999999995,-0.057345991561181364,-0.01419804186360582,0.7,-0.1941,0.1365,-0.08459152542372883,-0.05315274725274727,0.53,-0.254,0.13449999999999998,-2.237580991735538,-0.057258278145695396
15,120,100,0.5,-inf,recent_6m 跑输 ETF -8.97pp 超过容忍带 -5.0pp,5.39,-0.050499999999999996,0.2723,-0.08974599156118135,-0.020398041863605824,0.51,-0.166,0.08410000000000001,-0.1363915254237289,-0.08125274725274725,0.4,-0.25429999999999997,0.1011,-3.226380991735538,-0.05695827814569543
15,120,100,0.3,-inf,recent_6m 跑输 ETF -11.92pp 超过容忍带 -5.0pp,4.55,-0.045,0.2048,-0.11924599156118143,-0.025898041863605822,0.28,-0.138,0.038599999999999995,-0.18129152542372884,-0.10925274725274725,0.27,-0.2565,0.0688,-3.9501809917355377,-0.054758278145695394
15,100,150,0.7,-inf,recent_6m 跑输 ETF -7.52pp 超过容忍带 -5.0pp,5.39,-0.056799999999999996,0.3061,-0.07524599156118139,-0.014098041863605824,0.73,-0.1941,0.1424,-0.0787915254237288,-0.05315274725274727,0.53,-0.254,0.135,-2.2222809917355377,-0.057258278145695396
15,100,150,0.5,-inf,recent_6m 跑输 ETF -11.74pp 超过容忍带 -5.0pp,4.13,-0.050499999999999996,0.2089,-0.1174459915611814,-0.020398041863605824,0.54,-0.166,0.0895,-0.13099152542372883,-0.08125274725274725,0.38,-0.25420000000000004,0.09609999999999999,-3.351780991735538,-0.05705827814569536
15,100,150,0.3,-inf,recent_6m 跑输 ETF -16.00pp 超过容忍带 -5.0pp,2.55,-0.045,0.11449999999999999,-0.16004599156118138,-0.025898041863605822,0.28,-0.138,0.0385,-0.18139152542372883,-0.10925274725274725,0.23,-0.2618,0.0599,-4.1171809917355375,-0.04945827814569542
15,100,120,0.7,-inf,recent_6m 跑输 ETF -5.52pp 超过容忍带 -5.0pp,6.23,-0.0567,0.35359999999999997,-0.05524599156118137,-0.01419804186360582,0.84,-0.1941,0.16269999999999998,-0.058691525423728796,-0.05315274725274727,0.53,-0.2568,0.13570000000000002,-2.195480991735538,-0.05445827814569543
15,100,120,0.5,-inf,recent_6m 跑输 ETF -8.83pp 超过容忍带 -5.0pp,5.46,-0.050499999999999996,0.2756,-0.0883459915611815,-0.020398041863605824,0.72,-0.166,0.11869999999999999,-0.10219152542372889,-0.08125274725274725,0.37,-0.2658,0.09720000000000001,-3.3251809917355377,-0.04545827814569542
15,100,120,0.3,-inf,recent_6m 跑输 ETF -11.77pp 超过容忍带 -5.0pp,4.63,-0.045,0.2082,-0.11774599156118137,-0.025898041863605822,0.59,-0.138,0.0809,-0.13949152542372878,-0.10925274725274725,0.22,-0.2755,0.060899999999999996,-4.097680991735538,-0.03575827814569538
15,100,100,0.7,-inf,recent_6m 跑输 ETF -5.51pp 超过容忍带 -5.0pp,6.23,-0.0567,0.35369999999999996,-0.055145991561181384,-0.01419804186360582,0.76,-0.1941,0.147,-0.07419152542372887,-0.05315274725274727,0.52,-0.2541,0.132,-2.319980991735538,-0.05715827814569541
15,150,100,0.5,-inf,recent_6m 跑输 ETF -8.25pp 超过容忍带 -5.0pp,5.72,-0.050499999999999996,0.289,-0.08254599156118148,-0.020398041863605824,0.75,-0.166,0.1247,-0.09619152542372889,-0.08125274725274725,0.47,-0.23870000000000002,0.113,-2.904880991735538,-0.07255827814569538
15,150,100,0.7,-inf,recent_6m 跑输 ETF -5.12pp 超过容忍带 -5.0pp,6.4,-0.0567,0.36310000000000003,-0.05124599156118137,-0.01419804186360582,0.86,-0.1941,0.1668,-0.054591525423728804,-0.05315274725274727,0.58,-0.254,0.1475,-1.7702809917355378,-0.057258278145695396
15,150,120,0.3,-inf,recent_6m 跑输 ETF -11.88pp 超过容忍带 -5.0pp,4.57,-0.045,0.2057,-0.11884599156118147,-0.025898041863605822,0.58,-0.138,0.0796,-0.14079152542372886,-0.10925274725274725,0.22,-0.2894,0.06269999999999999,-4.065080991735538,-0.02185827814569541
20,100,120,0.5,-inf,recent_6m 跑输 ETF -6.38pp 超过容忍带 -5.0pp,6.82,-0.0489,0.3331,-0.06384599156118131,-0.02199804186360582,1.12,-0.1521,0.17,-0.05149152542372892,-0.09515274725274725,0.48,-0.2339,0.1133,-2.897980991735538,-0.0773582781456954
20,120,100,0.7,-inf,recent_1y 跑输 ETF -5.12pp 超过容忍带 -5.0pp,6.84,-0.057699999999999994,0.3948,-0.03814599156118148,-0.013198041863605826,0.9,-0.18899999999999997,0.1703,-0.051191525423728956,-0.05825274725274729,0.55,-0.2634,0.1441,-1.8976809917355375,-0.047858278145695377
20,120,100,0.5,-inf,recent_6m 跑输 ETF -5.97pp 超过容忍带 -5.0pp,7.01,-0.0489,0.3428,-0.05974599156118132,-0.02199804186360582,0.92,-0.152,0.1394,-0.08169152542372893,-0.09525274725274727,0.5,-0.2316,0.1161,-2.8169809917355377,-0.0796582781456954
20,120,100,0.3,-inf,recent_6m 跑输 ETF -7.99pp 超过容忍带 -5.0pp,7.37,-0.04,0.29510000000000003,-0.07994599156118132,-0.03089804186360582,0.98,-0.1152,0.1124,-0.10839152542372887,-0.13205274725274727,0.38,-0.2297,0.08839999999999999,-3.535480991735538,-0.08155827814569541
20,100,150,0.7,-inf,recent_6m 跑输 ETF -5.77pp 超过容忍带 -5.0pp,6.03,-0.057699999999999994,0.3475,-0.05774599156118132,-0.013198041863605826,0.93,-0.1891,0.17489999999999997,-0.0465915254237288,-0.05815274725274727,0.55,-0.2635,0.1448,-1.8724809917355376,-0.04775827814569539
20,100,150,0.5,-inf,recent_6m 跑输 ETF -8.97pp 超过容忍带 -5.0pp,5.57,-0.0489,0.2723,-0.08974599156118135,-0.02199804186360582,0.94,-0.1521,0.1434,-0.07779152542372891,-0.09515274725274725,0.48,-0.2316,0.11199999999999999,-2.9339809917355377,-0.0796582781456954
20,100,150,0.3,-inf,recent_6m 跑输 ETF -12.06pp 超过容忍带 -5.0pp,5.04,-0.04,0.2016,-0.1206459915611815,-0.03089804186360582,0.99,-0.1152,0.1137,-0.1070915254237288,-0.13205274725274727,0.35,-0.2296,0.0803,-3.716580991735538,-0.0816582781456954
20,100,120,0.7,-inf,full_pre_cutoff maxDD=-0.2635 超过绝对阈值 0.2,6.76,-0.057699999999999994,0.39039999999999997,-0.03994599156118128,-0.013198041863605826,1.02,-0.1891,0.193,-0.02879152542372876,-0.05815274725274727,0.55,-0.2635,0.1448,-1.874180991735538,-0.04775827814569539
20,100,120,0.3,-inf,recent_6m 跑输 ETF -8.58pp 超过容忍带 -5.0pp,7.03,-0.04,0.2814,-0.08584599156118133,-0.03089804186360582,1.3,-0.1152,0.14980000000000002,-0.07149152542372894,-0.13205274725274727,0.34,-0.2402,0.0819,-3.680480991735538,-0.0710582781456954
15,150,120,0.5,-inf,recent_6m 跑输 ETF -8.80pp 超过容忍带 -5.0pp,5.47,-0.050499999999999996,0.2762,-0.08804599156118131,-0.020398041863605824,0.72,-0.166,0.11900000000000001,-0.10189152542372892,-0.08125274725274725,0.36,-0.2767,0.1,-3.255880991735538,-0.0345582781456954
20,100,100,0.7,-inf,full_pre_cutoff maxDD=-0.2635 超过绝对阈值 0.2,6.86,-0.057699999999999994,0.3961,-0.03764599156118131,-0.013198041863605826,0.95,-0.18899999999999997,0.1796,-0.04199152542372886,-0.05825274725274729,0.52,-0.2635,0.1377,-2.125880991735538,-0.04775827814569539
20,100,100,0.5,-inf,recent_6m 跑输 ETF -5.73pp 超过容忍带 -5.0pp,7.13,-0.0489,0.3486,-0.057345991561181364,-0.02199804186360582,1.0,-0.1521,0.1522,-0.06909152542372876,-0.09515274725274725,0.47,-0.2316,0.1099,-2.993880991735538,-0.0796582781456954
20,100,100,0.3,-inf,recent_6m 跑输 ETF -7.49pp 超过容忍带 -5.0pp,7.66,-0.04,0.3068,-0.07494599156118142,-0.03089804186360582,1.15,-0.1152,0.1325,-0.08859152542372883,-0.13205274725274727,0.36,-0.2297,0.08220000000000001,-3.673780991735538,-0.08155827814569541
15,150,150,0.7,-inf,recent_6m 跑输 ETF -5.10pp 超过容忍带 -5.0pp,6.41,-0.0567,0.36369999999999997,-0.05104599156118139,-0.01419804186360582,0.86,-0.1941,0.16690000000000002,-0.054491525423728815,-0.05315274725274727,0.54,-0.2576,0.1396,-2.059480991735538,-0.053658278145695404
15,150,150,0.5,-inf,recent_6m 跑输 ETF -8.18pp 超过容忍带 -5.0pp,5.75,-0.050499999999999996,0.2907,-0.08184599156118133,-0.020398041863605824,0.75,-0.166,0.1252,-0.09569152542372894,-0.08125274725274725,0.39,-0.26280000000000003,0.1033,-3.169780991735538,-0.048458278145695366
15,150,150,0.3,-inf,recent_6m 跑输 ETF -11.13pp 超过容忍带 -5.0pp,4.95,-0.045,0.2227,-0.11134599156118141,-0.025898041863605822,0.63,-0.138,0.087,-0.13349152542372877,-0.10925274725274725,0.27,-0.2707,0.0727,-3.873980991735538,-0.0405582781456954
15,150,120,0.7,-inf,recent_6m 跑输 ETF -5.47pp 超过容忍带 -5.0pp,6.25,-0.0567,0.3547,-0.05474599156118143,-0.01419804186360582,0.84,-0.1941,0.1631,-0.05829152542372884,-0.05315274725274727,0.53,-0.26039999999999996,0.1384,-2.103280991735538,-0.050858278145695435
25,150,150,0.7,-inf,full_pre_cutoff maxDD=-0.2634 超过绝对阈值 0.2,5.18,-0.0711,0.36840000000000006,-0.04904599156118139,0.0002019581363941758,0.96,-0.19039999999999999,0.1818,-0.03979152542372888,-0.05685274725274728,0.56,-0.2634,0.14859999999999998,-1.731680991735538,-0.047858278145695377
