date,pe_median,pe_mean,pe_median_q10y
2005-11-02,24.17,37.69,
2005-11-03,24.24,38.29,
2005-11-04,24.28,38.12,
2005-11-07,24.33,38.39,
2005-11-08,24.47,38.48,
2005-11-09,24.7,38.51,
2005-11-10,24.71,38.28,
2005-11-11,23.99,37.62,
2005-11-14,24.12,37.71,
2005-11-15,24.22,37.91,
2005-11-16,23.76,37.44,
2005-11-17,23.89,37.74,
2005-11-18,23.68,37.73,
2005-11-21,24.22,38.53,
2005-11-22,24.2,38.69,
2005-11-23,23.81,37.87,
2005-11-24,24.04,38.2,
2005-11-25,24.03,38.34,
2005-11-28,24.06,38.31,
2005-11-29,23.87,38.16,
2005-11-30,23.64,37.85,
2005-12-01,23.81,37.88,
2005-12-02,23.58,37.73,
2005-12-05,23.51,37.22,
2005-12-06,22.87,36.45,
2005-12-07,23.1,36.61,
2005-12-08,23.26,36.97,
2005-12-09,23.15,36.87,
2005-12-12,23.39,37.17,
2005-12-13,23.53,37.33,
2005-12-14,23.59,37.34,
2005-12-15,23.82,37.7,
2005-12-16,23.71,37.46,
2005-12-19,23.88,37.75,
2005-12-20,23.9,37.53,
2005-12-21,24.06,37.84,
2005-12-22,23.84,37.52,
2005-12-23,23.86,37.44,
2005-12-26,24.22,37.81,
2005-12-27,24.37,37.81,
2005-12-28,24.24,37.76,
2005-12-29,24.25,37.85,
2005-12-30,24.57,38.17,
2006-01-04,24.45,38.04,
2006-01-05,24.76,38.3,
2006-01-06,25.11,38.74,
2006-01-09,25.13,39.13,
2006-01-10,25.41,39.62,
2006-01-11,25.49,39.72,
2006-01-12,25.3,39.47,
2006-01-13,25.72,40.19,
2006-01-16,25.71,40.24,
2006-01-17,25.29,39.65,
2006-01-18,25.25,39.69,
2006-01-19,25.58,40.4,
2006-01-20,25.67,40.51,
2006-01-23,26.19,40.88,
2006-01-24,26.25,40.44,
2006-01-25,26.34,40.44,
2006-02-06,26.03,40.04,
2006-02-07,26.5,40.91,
2006-02-08,26.57,40.91,
2006-02-09,26.59,41.16,
2006-02-10,26.22,40.85,
2006-02-13,26.51,41.21,
2006-02-14,26.25,40.87,
2006-02-15,26.46,41.26,
2006-02-16,26.57,41.3,
2006-02-17,25.88,40.28,
2006-02-20,25.6,40.01,
2006-02-21,25.36,39.62,
2006-02-22,25.87,40.24,
2006-02-23,25.89,40.37,
2006-02-24,25.87,40.16,
2006-02-27,26.07,40.43,
2006-02-28,26.11,40.44,
2006-03-01,26.22,41.11,
2006-03-02,26.48,41.37,
2006-03-03,25.91,40.93,
2006-03-06,25.99,41.01,
2006-03-07,25.78,40.56,
2006-03-08,25.24,39.64,
2006-03-09,25.16,39.29,
2006-03-10,25.0,39.42,
2006-03-13,24.78,39.48,
2006-03-14,25.08,39.45,
2006-03-15,25.33,39.51,
2006-03-16,25.56,39.83,
2006-03-17,25.64,39.81,
2006-03-20,25.44,40.26,
2006-03-21,25.7,41.3,
2006-03-22,25.73,41.45,
2006-03-23,25.96,41.61,
2006-03-24,26.05,41.97,
2006-03-27,26.1,41.5,
2006-03-28,26.45,42.66,
2006-03-29,26.71,42.94,
2006-03-30,27.05,43.16,
2006-03-31,26.82,43.05,
2006-04-03,27.15,44.17,
2006-04-04,27.54,44.74,
2006-04-05,27.99,44.67,
2006-04-06,28.4,45.24,
2006-04-07,28.65,45.41,
2006-04-10,28.86,45.55,
2006-04-11,29.69,46.52,
2006-04-12,30.03,46.88,
2006-04-13,29.95,47.26,
2006-04-14,29.06,46.93,
2006-04-17,29.64,48.02,
2006-04-18,29.92,48.52,
2006-04-19,30.02,48.77,
2006-04-20,30.21,48.85,
2006-04-21,29.75,48.47,
2006-04-24,30.53,49.16,
2006-04-25,30.11,49.32,
2006-04-26,30.17,49.93,
2006-04-27,30.79,50.36,
2006-04-28,30.97,50.49,
2006-05-08,32.02,52.1,
2006-05-09,33.04,53.67,
2006-05-10,34.06,54.48,
2006-05-11,34.28,55.48,
2006-05-12,34.12,55.3,
2006-05-15,35.18,56.55,
2006-05-16,37.14,57.8,
2006-05-17,35.63,56.97,
2006-05-18,35.85,57.6,
2006-05-19,35.86,57.98,
2006-05-22,36.65,58.29,
2006-05-23,37.03,58.77,
2006-05-24,35.61,58.1,
2006-05-25,35.12,56.68,
2006-05-26,35.16,56.83,
2006-05-29,36.01,58.01,
2006-05-30,36.23,58.22,
2006-05-31,37.02,59.15,
2006-06-01,36.89,59.06,
2006-06-02,37.99,60.6,
2006-06-05,38.42,60.66,
2006-06-06,38.67,61.54,
2006-06-07,38.14,61.7,
2006-06-08,35.65,59.0,
2006-06-09,35.84,58.74,
2006-06-12,35.2,57.57,
2006-06-13,35.45,57.68,
2006-06-14,35.38,57.25,
2006-06-15,35.15,57.44,
2006-06-16,34.96,57.76,
2006-06-19,35.87,57.94,
2006-06-20,36.41,58.25,
2006-06-21,36.74,59.03,
2006-06-22,36.74,58.69,
2006-06-23,36.89,58.42,
2006-06-26,37.33,59.63,
2006-06-27,37.61,59.81,
2006-06-28,38.28,60.05,
2006-06-29,38.15,59.9,
2006-06-30,38.73,60.61,
2006-07-03,38.21,60.43,
2006-07-04,38.72,61.08,
2006-07-05,38.88,61.01,
2006-07-06,38.43,60.08,
2006-07-07,39.0,61.3,
2006-07-10,38.82,61.52,
2006-07-11,39.44,62.0,
2006-07-12,39.73,62.17,
2006-07-13,38.91,62.03,
2006-07-14,36.77,59.84,
2006-07-17,37.22,59.94,
2006-07-18,37.84,60.84,
2006-07-19,37.76,60.6,
2006-07-20,36.99,59.47,
2006-07-21,37.03,59.91,
2006-07-24,37.26,60.22,
2006-07-25,37.57,60.01,
2006-07-26,38.34,60.31,
2006-07-27,38.17,60.31,
2006-07-28,37.58,60.59,
2006-07-31,37.02,59.89,
2006-08-01,35.5,57.78,
2006-08-02,35.18,56.97,
2006-08-03,35.17,57.2,
2006-08-04,35.08,56.77,
2006-08-07,33.79,55.69,
2006-08-08,33.32,54.5,
2006-08-09,34.0,55.27,
2006-08-10,34.33,55.74,
2006-08-11,34.95,56.12,
