date,open,high,low,close,volume
2025-11-21,25.81,26.2,25.3,25.72,5975047
2025-11-24,26.0,26.75,25.89,26.57,6685481
2025-11-25,26.53,26.96,26.41,26.59,5869235
2025-11-26,26.67,27.23,26.54,27.2,9603911
2025-11-27,27.1,27.7,27.02,27.19,8456285
2025-11-28,27.13,27.7,26.8,27.6,9283305
2025-12-01,27.52,27.93,27.4,27.76,6303845
2025-12-02,27.65,27.7,26.92,26.96,6234708
2025-12-03,26.99,27.0,26.01,26.09,7056216
2025-12-04,26.06,26.06,25.45,25.79,5043337
2025-12-05,25.9,26.55,25.57,26.41,4630803
2025-12-08,26.41,26.68,26.21,26.33,5319220
2025-12-09,26.43,26.63,26.11,26.12,4145493
2025-12-10,26.06,26.38,25.87,26.29,4066667
2025-12-11,26.39,26.55,25.9,25.9,3984986
2025-12-12,26.11,26.53,25.9,26.02,5307346
2025-12-15,25.96,26.1,25.52,25.52,3715030
2025-12-16,25.88,26.19,25.1,25.64,5634088
2025-12-17,25.48,25.58,24.88,25.47,5990040
2025-12-18,25.27,26.18,25.27,25.72,5933017
2025-12-19,25.67,26.33,25.63,26.18,5740661
2025-12-22,26.17,26.28,26.02,26.13,3855566
2025-12-23,26.05,26.15,25.38,25.41,5530738
2025-12-24,25.4,26.03,25.3,25.91,5032653
2025-12-25,26.0,26.48,25.78,26.15,5481398
2025-12-26,26.6,26.8,26.14,26.45,8063100
2025-12-29,26.37,27.08,26.02,26.59,8677894
2025-12-30,26.1,26.49,26.06,26.15,5660449
2025-12-31,26.21,27.21,26.03,26.74,11535571
2026-01-05,26.68,27.46,26.52,27.19,10040891
2026-01-06,27.15,27.55,27.05,27.44,8453100
2026-01-07,27.4,27.43,26.8,26.85,8250668
2026-01-08,26.85,27.49,26.71,27.45,8891694
2026-01-09,27.92,28.03,27.34,27.64,12042607
2026-01-12,27.88,28.87,27.78,28.78,15767232
2026-01-13,28.8,28.83,27.5,27.54,12224068
2026-01-14,27.58,30.28,27.45,29.22,24834846
2026-01-15,29.0,29.93,28.5,28.64,14987018
2026-01-16,28.6,28.79,27.95,28.08,10081857
2026-01-19,27.95,28.0,27.11,27.17,12227400
2026-01-20,27.2,27.31,26.64,26.84,7956436
2026-01-21,26.68,27.17,26.65,26.74,5983323
2026-01-22,26.9,27.41,26.86,27.03,5648961
2026-01-23,27.05,27.49,27.04,27.3,7200543
2026-01-26,27.25,27.34,26.08,26.29,9150142
2026-01-27,26.21,26.35,25.57,26.2,6625344
2026-01-28,26.2,26.25,25.6,25.6,6268911
2026-01-29,25.6,25.97,25.16,25.45,5113600
2026-01-30,25.5,25.65,25.1,25.18,5112978
2026-02-02,25.1,25.28,24.5,24.54,5741916
2026-02-03,25.38,25.69,25.05,25.36,5091215
2026-02-04,25.21,25.25,24.84,25.13,4396778
2026-02-05,25.13,25.62,25.02,25.13,4693150
2026-02-06,25.03,25.22,24.68,24.92,3733161
2026-02-09,25.18,25.34,25.07,25.26,3698595
2026-02-10,25.32,25.85,25.18,25.85,5015439
2026-02-11,26.37,26.68,26.07,26.08,10423758
2026-02-12,25.61,25.98,25.5,25.54,5944996
2026-02-13,25.54,25.88,25.2,25.26,4265895
2026-02-24,25.66,25.79,25.27,25.51,3830602
2026-02-25,25.52,25.73,25.39,25.48,3690887
2026-02-26,25.48,26.25,25.39,25.95,8461523
2026-02-27,25.67,26.2,25.56,26.1,7067594
2026-03-02,25.41,25.7,24.9,25.15,9055190
2026-03-03,25.13,25.26,24.49,24.5,6139238
2026-03-04,24.32,25.1,24.25,24.52,3681769
2026-03-05,24.75,24.94,24.38,24.71,3361514
2026-03-06,24.61,25.49,24.55,25.24,6547966
2026-03-09,24.9,24.96,24.45,24.73,5529711
2026-03-10,24.95,25.3,24.93,25.19,3766728
2026-03-11,25.18,26.01,25.16,25.61,8127384
2026-03-12,25.55,25.87,25.19,25.49,4894600
2026-03-13,25.3,25.48,24.5,24.58,6085983
2026-03-16,24.48,24.74,24.41,24.63,2674891
2026-03-17,24.8,24.82,24.3,24.33,2637434
2026-03-18,24.46,24.66,23.95,24.2,3513820
2026-03-19,24.01,24.06,23.3,23.38,4379147
2026-03-20,23.51,23.6,22.52,22.52,3797759
2026-03-23,22.1,22.38,20.92,21.05,9186365
2026-03-24,21.43,21.54,20.75,21.4,5060003
