date,open,high,low,close,volume
2025-11-21,151.99,152.28,147.84,148.0,2913177
2025-11-24,148.5,149.26,145.0,145.99,2406708
2025-11-25,146.98,147.7,145.21,145.54,3039830
2025-11-26,145.59,146.99,144.3,145.05,2511071
2025-11-27,145.0,148.22,144.98,146.26,2902213
2025-11-28,146.27,146.27,142.58,145.37,2796367
2025-12-01,144.0,146.44,144.0,146.0,1986158
2025-12-02,146.0,146.26,144.6,145.06,1603097
2025-12-03,145.1,145.56,142.75,143.7,1932298
2025-12-04,144.08,144.75,140.22,140.41,2811763
2025-12-05,140.41,143.3,139.03,142.97,2548124
2025-12-08,142.97,144.31,142.47,142.81,1873670
2025-12-09,142.8,143.5,141.1,141.18,1658492
2025-12-10,141.0,143.68,140.04,143.25,2407535
2025-12-11,143.05,143.5,139.33,139.4,2758807
2025-12-12,139.93,140.84,137.6,139.45,3059728
2025-12-15,139.07,141.84,137.68,137.78,2310192
2025-12-16,137.6,143.52,137.36,140.56,4621576
2025-12-17,139.31,142.4,138.0,142.01,3430181
2025-12-18,141.27,144.31,141.11,141.82,3003518
2025-12-19,142.0,146.3,141.38,145.8,4063915
2025-12-22,145.0,145.0,142.98,144.4,2983218
2025-12-23,144.0,144.6,141.54,142.29,2804918
2025-12-24,141.69,143.43,141.57,142.8,1493259
2025-12-25,142.42,144.16,142.19,143.5,1908014
2025-12-26,143.0,145.58,142.7,144.33,2740844
2025-12-29,144.0,144.98,140.96,141.03,2592306
2025-12-30,140.86,143.15,139.55,141.25,2709318
2025-12-31,141.25,143.69,139.72,141.72,2334254
2026-01-05,141.76,145.0,141.5,144.95,3973739
2026-01-06,145.18,147.39,144.6,146.49,3409683
2026-01-07,145.94,146.59,144.39,145.34,2536659
2026-01-08,145.0,148.4,144.44,145.99,3902726
2026-01-09,150.0,153.99,148.32,149.91,6905404
2026-01-12,149.0,151.42,149.0,151.0,4491800
2026-01-13,150.88,153.98,148.58,151.31,6620269
2026-01-14,150.69,154.46,149.83,151.77,6011986
2026-01-15,151.1,153.05,148.21,148.81,3893053
2026-01-16,148.81,149.75,146.06,146.31,3497515
2026-01-19,145.83,149.08,145.57,147.16,2918420
2026-01-20,147.42,147.78,144.1,144.82,2995444
2026-01-21,144.82,144.84,143.0,144.6,2625078
2026-01-22,144.38,144.88,141.47,141.6,3122427
2026-01-23,141.75,144.24,141.75,142.93,3024199
2026-01-26,143.2,143.96,141.3,142.01,3440068
2026-01-27,141.94,142.48,139.13,140.31,3130944
2026-01-28,140.36,140.89,138.01,138.12,2975671
2026-01-29,137.49,144.56,137.45,144.38,5673946
2026-01-30,142.98,143.2,139.67,139.73,3760011
2026-02-02,141.5,145.76,140.0,141.14,4749686
2026-02-03,140.88,147.99,140.88,147.57,6505395
2026-02-04,146.18,148.7,145.52,148.32,4208356
2026-02-05,149.7,158.8,148.09,153.96,9458061
2026-02-06,151.6,152.5,149.45,150.42,5510451
2026-02-09,151.92,154.55,151.28,153.88,4543636
2026-02-10,153.0,153.8,149.26,149.47,3995675
2026-02-11,149.16,150.96,148.61,149.14,2876903
2026-02-12,148.74,149.35,146.59,146.85,3196721
2026-02-13,146.9,147.85,145.17,145.24,2262689
2026-02-24,145.24,146.5,143.88,144.46,2034862
2026-02-25,145.0,146.49,144.8,145.69,1826497
2026-02-26,145.58,146.79,142.68,143.16,2694519
2026-02-27,143.0,143.8,142.65,142.78,1925236
2026-03-02,140.95,141.89,139.5,139.73,2848926
2026-03-03,139.73,141.47,137.72,138.0,3229095
