date,open,high,low,close,volume
2025-11-20,5.34,5.37,5.27,5.33,11559712
2025-11-21,5.29,5.37,5.1,5.12,15983324
2025-11-24,5.14,5.23,5.12,5.16,11977812
2025-11-25,5.2,5.29,5.13,5.25,10122300
2025-11-26,5.25,5.31,5.18,5.19,10291185
2025-11-27,5.23,5.23,5.14,5.16,8690300
2025-11-28,5.15,5.25,5.11,5.25,10235194
2025-12-01,5.26,5.34,5.2,5.21,10328500
2025-12-02,5.21,5.37,5.16,5.3,21009555
2025-12-03,5.29,5.83,5.25,5.83,47273247
2025-12-04,5.87,6.26,5.58,5.94,113593015
2025-12-05,5.82,5.88,5.69,5.72,64725577
2025-12-08,5.71,5.75,5.62,5.68,43750839
2025-12-09,5.74,5.8,5.5,5.54,42259539
2025-12-10,5.51,5.53,5.33,5.34,36230827
2025-12-11,5.36,5.39,5.15,5.17,30500704
2025-12-12,5.15,5.24,5.09,5.12,24924281
2025-12-15,5.15,5.23,5.06,5.2,21843784
2025-12-16,5.17,5.2,5.01,5.01,21335907
2025-12-17,5.04,5.06,4.89,5.0,20542628
2025-12-18,4.98,5.1,4.94,5.07,18922600
2025-12-19,5.12,5.23,5.1,5.22,20410800
2025-12-22,5.24,5.3,5.21,5.23,17653228
2025-12-23,5.23,5.29,5.19,5.26,12989428
2025-12-24,5.28,5.38,5.25,5.35,15655300
2025-12-25,5.34,5.39,5.28,5.38,13283000
2025-12-26,5.38,5.41,5.31,5.34,13270000
2025-12-29,5.34,5.35,5.23,5.26,14973504
2025-12-30,5.28,5.29,5.13,5.18,16372602
2025-12-31,5.22,5.28,5.12,5.24,16714300
2026-01-05,5.26,5.31,5.21,5.22,15304312
2026-01-06,5.25,5.29,5.19,5.23,17525750
2026-01-07,5.23,5.26,5.17,5.2,12465762
2026-01-08,5.18,5.62,5.16,5.5,35295581
2026-01-09,5.49,5.5,5.37,5.44,20068100
2026-01-12,5.46,5.49,5.38,5.48,20358000
2026-01-13,5.47,5.49,5.4,5.44,19405152
2026-01-14,5.44,5.49,5.34,5.45,20147317
2026-01-15,5.44,5.49,5.37,5.48,15831147
2026-01-16,5.51,5.61,5.45,5.58,24367617
2026-01-19,5.56,5.72,5.55,5.72,20287570
2026-01-20,5.71,5.83,5.66,5.79,24474000
2026-01-21,5.74,5.85,5.67,5.8,19970201
2026-01-22,5.83,5.9,5.76,5.88,17264200
2026-01-23,5.91,5.93,5.81,5.82,18865800
2026-01-26,5.81,5.84,5.72,5.81,20874200
2026-01-27,5.8,5.82,5.64,5.71,13807787
2026-01-28,5.71,5.77,5.66,5.72,12102501
2026-01-29,5.71,5.78,5.64,5.69,13499300
2026-01-30,5.68,5.77,5.62,5.73,12571701
2026-02-02,5.68,5.74,5.63,5.64,15704932
2026-02-03,5.69,5.77,5.65,5.76,14248600
2026-02-04,5.76,5.9,5.73,5.88,16759832
2026-02-05,5.89,5.99,5.82,5.83,16376001
2026-02-06,5.81,5.92,5.77,5.83,12474300
2026-02-09,5.9,5.91,5.79,5.81,11993200
2026-02-10,5.87,5.9,5.8,5.84,14050846
2026-02-11,5.81,5.93,5.79,5.85,11962346
2026-02-12,5.85,5.88,5.71,5.72,12517381
2026-02-13,5.76,5.78,5.67,5.69,10352370
2026-02-24,5.75,5.96,5.72,5.94,15486212
2026-02-25,5.94,6.11,5.9,6.02,17170170
2026-02-26,6.02,6.03,5.91,5.95,10958100
2026-02-27,5.91,5.97,5.88,5.97,10485500
2026-03-02,5.85,5.93,5.71,5.75,16841894
2026-03-03,5.76,5.88,5.65,5.67,16008300
2026-03-04,5.61,5.75,5.57,5.67,13974900
2026-03-05,5.75,5.81,5.68,5.76,10930400
2026-03-06,5.77,5.96,5.72,5.94,11617300
2026-03-09,5.85,5.99,5.85,5.9,15290744
2026-03-10,5.95,6.02,5.89,5.97,12854244
2026-03-11,5.99,5.99,5.85,5.91,11078400
2026-03-12,5.91,5.93,5.78,5.81,9607900
2026-03-13,5.82,5.97,5.79,5.84,11909201
2026-03-16,5.83,5.95,5.71,5.78,13469600
2026-03-17,5.83,5.88,5.68,5.69,10850700
2026-03-18,5.75,5.85,5.67,5.83,11762000
2026-03-19,5.78,5.79,5.55,5.57,11840120
2026-03-20,5.61,5.63,5.39,5.41,14807058
2026-03-23,5.31,5.43,5.03,5.06,22797252
