date,open,high,low,close,volume
2025-11-20,3.23,3.25,3.19,3.2,32437159
2025-11-21,3.18,3.24,3.1,3.11,56404800
2025-11-24,3.14,3.16,3.1,3.14,38405798
2025-11-25,3.15,3.24,3.13,3.22,49202200
2025-11-26,3.21,3.36,3.2,3.24,77909668
2025-11-27,3.23,3.26,3.2,3.24,44468200
2025-11-28,3.24,3.25,3.18,3.23,32829400
2025-12-01,3.23,3.27,3.21,3.25,31678100
2025-12-02,3.25,3.25,3.18,3.22,32699000
2025-12-03,3.23,3.26,3.21,3.22,35235197
2025-12-04,3.21,3.26,3.18,3.22,42421400
2025-12-05,3.22,3.24,3.16,3.24,36268729
2025-12-08,3.24,3.27,3.23,3.24,31682900
2025-12-09,3.25,3.27,3.17,3.18,42548797
2025-12-10,3.17,3.18,3.14,3.18,29075800
2025-12-11,3.19,3.19,3.1,3.11,33739918
2025-12-12,3.12,3.12,3.08,3.1,24859400
2025-12-15,3.08,3.11,3.06,3.09,20121100
2025-12-16,3.09,3.1,3.04,3.05,29032015
2025-12-17,3.04,3.08,3.02,3.08,23742700
2025-12-18,3.06,3.12,3.05,3.08,21767955
2025-12-19,3.09,3.18,3.08,3.18,45109545
2025-12-22,3.18,3.19,3.15,3.18,24787298
2025-12-23,3.19,3.2,3.13,3.14,25205199
2025-12-24,3.15,3.16,3.12,3.14,19848300
2025-12-25,3.13,3.15,3.11,3.13,24087923
2025-12-26,3.14,3.14,3.1,3.11,33174195
2025-12-29,3.11,3.12,3.07,3.08,31683700
2025-12-30,3.07,3.1,3.05,3.07,24234531
2025-12-31,3.08,3.1,3.06,3.07,25868385
2026-01-05,3.07,3.18,3.06,3.17,56626605
2026-01-06,3.17,3.2,3.16,3.18,42736799
2026-01-07,3.18,3.19,3.13,3.14,41026752
2026-01-08,3.13,3.21,3.13,3.18,49442500
2026-01-09,3.19,3.2,3.15,3.2,53963202
2026-01-12,3.19,3.21,3.17,3.21,65084672
2026-01-13,3.21,3.32,3.2,3.24,90185525
2026-01-14,3.25,3.31,3.22,3.27,84500246
2026-01-15,3.27,3.33,3.24,3.26,67854115
2026-01-16,3.26,3.27,3.17,3.18,57118400
2026-01-19,3.18,3.22,3.15,3.21,37326481
2026-01-20,3.22,3.23,3.17,3.19,38187700
2026-01-21,3.31,3.51,3.31,3.51,198524066
2026-01-22,3.44,3.57,3.4,3.52,275773484
2026-01-23,3.5,3.53,3.47,3.51,135812395
2026-01-26,3.53,3.63,3.49,3.62,216580394
2026-01-27,3.62,3.63,3.42,3.53,140730727
2026-01-28,3.51,3.56,3.45,3.49,99021900
2026-01-29,3.48,3.5,3.43,3.48,68512400
2026-01-30,3.47,3.51,3.38,3.41,71591041
2026-02-02,3.4,3.45,3.36,3.36,58015169
2026-02-03,3.41,3.43,3.38,3.43,50727408
2026-02-04,3.43,3.46,3.41,3.46,50696722
2026-02-05,3.45,3.47,3.41,3.42,43075700
2026-02-06,3.43,3.52,3.43,3.46,84584980
2026-02-09,3.46,3.49,3.45,3.47,55187338
