date,open,high,low,close,volume
2025-11-21,22.61,22.89,21.88,22.15,4190741
2025-11-24,22.25,22.48,21.65,22.42,2884520
2025-11-25,22.64,24.66,22.64,23.65,12168562
2025-11-26,23.2,23.78,22.7,22.89,9651384
2025-11-27,22.71,23.34,22.51,22.75,5665483
2025-11-28,22.99,23.09,22.31,22.42,4085920
2025-12-01,22.4,23.5,22.31,23.17,5743700
2025-12-02,23.1,23.2,22.4,22.48,3826640
2025-12-03,22.48,22.52,21.86,22.0,2912680
2025-12-04,21.89,22.15,21.7,22.07,1783180
2025-12-05,22.1,22.3,21.9,22.23,1544620
2025-12-08,22.23,22.58,22.04,22.45,2071900
2025-12-09,22.8,23.27,22.5,22.66,3141506
2025-12-10,22.52,22.52,21.99,22.04,2799213
2025-12-11,22.06,22.37,21.42,21.46,3133260
2025-12-12,21.5,21.84,21.45,21.52,1535380
2025-12-15,21.45,21.45,20.96,21.08,1679266
2025-12-16,21.07,21.07,20.44,20.66,2285800
2025-12-17,20.68,20.75,20.16,20.54,2259809
2025-12-18,20.44,20.86,20.31,20.64,1932806
2025-12-19,20.99,20.99,20.61,20.83,1255758
2025-12-22,20.83,21.49,20.78,20.99,1766760
2025-12-23,21.0,21.07,20.6,20.73,1936856
2025-12-24,20.84,21.3,20.76,21.11,2492116
2025-12-25,21.05,21.23,20.86,21.18,1708404
2025-12-26,21.19,21.2,20.71,20.9,2487734
2025-12-29,20.95,21.05,20.7,21.02,1904347
2025-12-30,21.0,21.0,20.72,20.74,1502904
2025-12-31,20.85,21.35,20.64,21.07,2292640
2026-01-05,20.95,21.68,20.95,21.59,3536139
2026-01-06,21.59,22.21,21.52,21.8,3393669
2026-01-07,21.83,21.96,21.61,21.7,2098260
2026-01-08,21.66,21.93,21.66,21.8,1816880
2026-01-09,21.76,21.89,21.61,21.82,2514520
2026-01-12,22.01,22.46,21.91,22.41,4416980
2026-01-13,22.41,22.56,21.96,22.1,3057303
2026-01-14,22.05,22.59,21.92,22.15,3268900
2026-01-15,22.15,22.49,22.0,22.23,2374800
2026-01-16,22.46,22.79,22.28,22.58,3637928
2026-01-19,22.45,22.83,22.22,22.75,3246708
2026-01-20,22.75,23.14,22.55,22.68,3521188
2026-01-21,22.6,23.96,22.35,22.92,4840080
2026-01-22,23.02,23.16,22.82,23.02,2445100
2026-01-23,23.02,23.04,22.81,22.95,2942923
2026-01-26,22.96,23.09,22.4,22.7,2599580
2026-01-27,22.71,22.71,21.9,22.64,2401680
2026-01-28,22.58,22.64,21.98,22.05,1984560
2026-01-29,22.03,22.38,21.67,21.81,2107780
2026-01-30,21.81,22.08,21.58,22.03,2284900
2026-02-02,22.0,22.33,21.76,21.81,1879240
2026-02-03,21.97,22.39,21.83,22.36,1923150
2026-02-04,22.25,22.54,22.18,22.33,1593380
2026-02-05,22.11,22.48,22.11,22.26,1435540
2026-02-06,22.27,22.67,22.07,22.33,2151020
2026-02-09,22.45,22.97,22.42,22.8,2088620
2026-02-10,22.8,22.95,22.67,22.78,1649300
2026-02-11,22.8,23.13,22.6,22.99,2585480
2026-02-12,22.94,24.04,22.9,24.0,6744809
2026-02-13,23.79,23.98,23.46,23.47,2813800
2026-02-24,23.65,24.12,23.43,23.85,2780300
2026-02-25,23.85,25.16,23.69,25.12,6447794
2026-02-26,25.7,26.61,25.68,26.34,12040001
2026-02-27,26.2,28.97,26.2,28.97,7607259
2026-03-02,31.87,31.87,31.87,31.87,2015960
2026-03-03,35.06,35.06,32.96,35.06,43367707
2026-03-04,34.98,35.04,32.4,34.02,30967258
2026-03-05,34.06,34.49,31.47,32.46,27828230
2026-03-06,31.79,35.06,31.57,34.4,27072559
2026-03-09,32.53,36.6,32.53,35.6,23634340
2026-03-10,36.36,37.68,35.66,36.78,23028817
2026-03-11,37.44,38.87,36.82,37.75,21457257
2026-03-12,37.51,38.03,36.03,36.41,15250530
2026-03-13,36.36,36.7,35.0,35.14,13224779
2026-03-16,35.5,38.65,35.29,38.65,13996060
2026-03-17,38.66,40.28,37.16,37.91,22977640
2026-03-18,38.54,39.06,37.18,38.23,16025499
2026-03-19,37.88,39.59,36.1,39.05,20050253
2026-03-20,38.72,39.85,37.15,37.22,16124988
2026-03-23,36.98,37.2,34.11,35.7,14150842
2026-03-24,36.7,38.65,35.01,38.49,10829440
2026-03-25,39.16,41.85,38.66,40.51,13236689
2026-03-26,40.23,41.43,38.98,39.31,8352180
2026-03-27,38.38,41.09,37.52,39.8,9695060
2026-03-30,39.8,43.78,39.0,43.78,7885500
2026-03-31,44.02,44.92,39.6,42.1,18021022
2026-04-01,42.69,46.31,41.26,45.12,23971087
2026-04-02,44.78,45.49,41.33,41.9,18196285
2026-04-03,42.38,46.09,42.38,46.09,12052830
2026-04-07,47.72,50.7,46.8,50.7,20813473
2026-04-08,55.0,55.16,49.7,52.86,22901925
2026-04-09,53.15,57.4,51.3,55.68,19389067
2026-04-10,56.79,56.99,51.5,53.01,18610920
2026-04-13,53.03,58.31,53.03,58.31,8847061
2026-04-14,59.6,64.14,59.6,64.14,16398444
2026-04-15,68.43,70.55,67.9,70.54,25968101
2026-04-16,70.91,72.5,63.72,66.47,31508112
2026-04-17,66.4,73.12,66.0,73.12,19344900
2026-04-20,75.18,79.56,73.0,78.0,26771841
2026-04-21,76.12,84.22,76.0,82.2,19120106
2026-04-22,81.44,83.6,78.69,81.22,19316141
2026-04-23,80.0,80.13,73.1,75.9,21959664
2026-04-24,78.39,83.49,74.5,82.29,26196940
2026-04-27,79.68,81.93,77.0,80.9,19250967
2026-04-28,79.2,87.2,77.66,85.06,18275460
2026-04-29,84.0,84.98,78.66,81.35,19459580
2026-04-30,81.06,84.7,77.0,79.94,18032057
2026-05-06,80.35,80.4,74.77,75.82,17827915
2026-05-07,76.32,83.4,74.26,83.4,19372585
2026-05-08,82.03,85.79,78.52,84.14,16176615
2026-05-11,85.0,88.0,80.1,85.13,16064360
2026-05-12,86.82,87.5,81.22,82.5,13847340
2026-05-13,81.75,87.49,80.28,86.06,13434922
2026-05-14,87.61,94.67,82.39,94.67,16578842
2026-05-15,96.0,104.0,92.77,96.27,21757890
2026-05-18,94.03,105.9,94.03,105.9,12947077
2026-05-19,104.74,107.22,97.49,103.65,19829580
2026-05-20,102.46,112.88,95.59,111.02,18119013
2026-05-21,112.81,114.91,100.0,105.8,16678440
2026-05-22,103.9,116.38,102.92,116.38,15400653
2026-05-25,121.23,128.02,121.01,128.02,11983996
2026-05-26,133.55,133.55,115.22,115.5,21848180
2026-05-27,111.01,123.0,107.67,117.72,18137430
2026-05-28,117.39,117.39,106.16,113.6,15365447
2026-05-29,115.66,116.55,107.25,109.22,13859987
2026-06-01,108.35,109.2,101.3,101.93,12095073
2026-06-02,101.0,112.12,99.81,112.12,9722978
2026-06-03,118.68,123.33,117.77,122.39,15233000
2026-06-04,123.46,130.1,120.87,127.2,15572280
2026-06-05,129.68,132.56,124.28,125.09,12632077
2026-06-08,118.6,123.6,116.0,118.0,9177380
2026-06-09,119.0,125.0,118.23,120.02,10609100
2026-06-10,119.19,120.35,113.2,116.62,9979480
