date,open,high,low,close,volume
2025-11-20,7.49,8.23,7.48,8.23,11994028
2025-11-21,8.88,8.88,7.71,8.18,62441969
2025-11-24,7.82,8.09,7.56,8.01,40701415
2025-11-25,7.86,8.2,7.74,7.93,34486685
2025-11-26,7.86,8.29,7.72,7.75,30864191
2025-11-27,7.59,8.51,7.57,8.12,45404322
2025-11-28,7.91,8.15,7.9,8.05,28192455
2025-12-01,8.08,8.08,7.9,7.91,18487350
2025-12-02,7.93,8.1,7.77,7.91,16531400
2025-12-03,7.88,7.95,7.66,7.79,16326282
2025-12-04,7.82,7.83,7.41,7.41,18529866
2025-12-05,7.5,7.85,7.33,7.7,16515999
2025-12-08,7.71,7.78,7.59,7.67,12917450
2025-12-09,7.63,7.67,7.4,7.4,10614800
2025-12-10,7.44,7.48,7.33,7.34,8838275
2025-12-11,7.39,7.39,7.16,7.16,10513362
2025-12-12,7.22,7.26,7.05,7.08,8819900
2025-12-15,7.02,7.2,7.01,7.14,6045650
2025-12-16,7.12,7.13,6.96,6.98,6655977
2025-12-17,6.97,7.06,6.86,6.97,7733788
2025-12-18,6.98,7.15,6.92,7.1,5798574
2025-12-19,7.13,7.25,7.1,7.23,5710651
2025-12-22,7.23,7.29,7.2,7.21,6843945
2025-12-23,7.2,7.26,7.12,7.22,7677926
2025-12-24,7.22,7.25,7.15,7.2,4938061
2025-12-25,7.21,7.26,7.15,7.21,4866712
2025-12-26,7.23,7.25,7.11,7.13,6144750
2025-12-29,7.14,7.15,7.04,7.11,4683899
2025-12-30,7.08,7.26,7.0,7.12,7477074
2025-12-31,7.11,7.2,7.04,7.13,5715120
2026-01-05,7.24,7.24,7.14,7.15,5380900
2026-01-06,7.15,7.25,7.13,7.18,7486620
2026-01-07,7.2,7.21,7.1,7.17,7033307
2026-01-08,7.18,7.25,7.16,7.24,6451350
2026-01-09,7.25,7.27,7.17,7.22,7126237
2026-01-12,7.2,7.25,7.17,7.23,8849298
2026-01-13,7.25,7.33,7.18,7.22,8964905
2026-01-14,7.22,7.31,7.17,7.27,11270563
2026-01-15,7.23,7.37,7.21,7.35,9029290
2026-01-16,7.35,7.38,7.25,7.29,7470300
2026-01-19,7.27,7.39,7.25,7.39,7732538
2026-01-20,7.39,7.53,7.33,7.53,11912013
2026-01-21,7.5,7.54,7.42,7.53,8573149
2026-01-22,7.53,7.64,7.47,7.61,8082607
2026-01-23,7.61,7.79,7.57,7.74,13427671
2026-01-26,7.75,7.78,7.62,7.73,10605193
2026-01-27,7.67,7.68,7.47,7.62,9436807
2026-01-28,7.64,7.85,7.58,7.7,10149700
2026-01-29,7.71,7.82,7.55,7.75,10225664
2026-01-30,7.58,7.82,7.51,7.78,11903625
2026-02-02,7.7,7.73,7.42,7.43,10502088
2026-02-03,7.48,7.62,7.45,7.6,7237638
2026-02-04,7.62,7.78,7.59,7.74,7430225
2026-02-05,7.73,7.82,7.65,7.66,5870700
2026-02-06,7.61,7.84,7.57,7.81,8731715
2026-02-09,7.89,7.92,7.76,7.81,6762313
2026-02-10,7.82,7.85,7.75,7.75,4624012
2026-02-11,7.74,7.95,7.7,7.88,6658412
2026-02-12,7.91,7.92,7.64,7.65,8521012
2026-02-13,7.67,7.69,7.52,7.54,4981100
2026-02-24,7.58,7.82,7.58,7.79,7350237
2026-02-25,7.79,8.1,7.79,7.99,12181700
2026-02-26,8.0,8.04,7.85,7.96,7734212
2026-02-27,7.95,8.0,7.86,7.97,5959150
2026-03-02,7.9,7.9,7.6,7.71,8577712
2026-03-03,7.79,7.92,7.61,7.66,11176875
2026-03-04,7.66,7.7,7.47,7.55,7726053
2026-03-05,7.66,7.75,7.52,7.63,5899787
2026-03-06,7.6,7.92,7.53,7.9,7699225
2026-03-09,7.85,8.22,7.85,7.95,12355500
2026-03-10,7.96,8.05,7.84,7.89,8231525
2026-03-11,7.88,8.04,7.85,7.98,10333710
2026-03-12,8.07,8.22,7.98,8.11,13064325
2026-03-13,8.14,8.32,8.06,8.19,14308900
2026-03-16,8.14,8.26,8.0,8.09,11968740
2026-03-17,8.09,8.2,7.88,7.9,8683312
2026-03-18,7.95,7.95,7.75,7.87,6992950
2026-03-19,7.9,8.04,7.61,7.67,10294814
2026-03-20,7.71,7.76,7.22,7.26,17475626
2026-03-23,7.15,7.74,6.93,7.24,19438326
2026-03-24,7.45,7.48,7.15,7.45,11123526
2026-03-25,7.46,7.61,7.38,7.52,7956926
2026-03-26,7.53,7.75,7.46,7.59,8094000
2026-03-27,7.59,7.88,7.52,7.84,10006250
2026-03-30,7.89,8.04,7.69,7.83,7824600
2026-03-31,7.79,8.02,7.59,7.61,7252740
2026-04-01,7.77,7.77,7.5,7.61,6113200
2026-04-02,7.56,7.66,7.37,7.43,5527100
2026-04-03,7.47,7.47,7.07,7.14,10808500
2026-04-07,7.18,7.52,7.1,7.49,10859800
2026-04-08,7.53,7.56,7.35,7.56,8004700
2026-04-09,7.52,7.55,7.4,7.43,6568420
2026-04-10,7.45,7.56,7.4,7.44,5204100
2026-04-13,7.44,7.57,7.27,7.39,5571800
2026-04-14,7.42,7.44,7.22,7.32,6534980
2026-04-15,7.33,7.4,7.17,7.22,7967300
2026-04-16,7.28,7.35,7.19,7.33,4814048
2026-04-17,7.31,7.35,7.15,7.2,5259000
2026-04-20,7.18,7.28,7.13,7.25,4361588
2026-04-21,7.25,7.34,7.18,7.33,4825300
2026-04-22,7.31,7.4,7.26,7.3,4486650
2026-04-23,7.32,7.33,7.17,7.26,4592519
2026-04-24,7.21,7.38,7.19,7.34,4213887
2026-04-27,7.3,7.39,7.15,7.38,6049639
